,iso_code,location,total_cases,total_deaths
0,ALB,Albania,19157.0,477.0
1,AND,Andorra,4038.0,69.0
2,AUT,Austria,82536.0,984.0
3,BEL,Belgium,318945.0,10733.0
4,BGR,Bulgaria,37889.0,1094.0
5,BIH,Bosnia and Herzegovina,40893.0,1086.0
6,BLR,Belarus,92823.0,957.0
7,CHE,Switzerland,103323.0,1876.0
8,CYP,Cyprus,3545.0,25.0
9,CZE,Czech Republic,258097.0,2201.0
10,DEU,Germany,437866.0,10056.0
11,DNK,Denmark,40356.0,702.0
12,ESP,Spain,1046132.0,34752.0
13,EST,Estonia,4411.0,73.0
14,FIN,Finland,14848.0,353.0
15,FRA,France,1138507.0,34761.0
16,FRO,Faeroe Islands,490.0,0.0
17,GBR,United Kingdom,873800.0,44896.0
18,GGY,Guernsey,265.0,13.0
19,GIB,Gibraltar,667.0,0.0
20,GRC,Greece,30782.0,574.0
21,HRV,Croatia,36380.0,437.0
22,HUN,Hungary,61563.0,1472.0
23,IMN,Isle of Man,348.0,24.0
24,IRL,Ireland,57128.0,1882.0
25,ISL,Iceland,4448.0,11.0
26,ITA,Italy,525782.0,37338.0
27,JEY,Jersey,530.0,32.0
28,LIE,Liechtenstein,365.0,1.0
29,LTU,Lithuania,10184.0,134.0
30,LUX,Luxembourg,14204.0,145.0
31,LVA,Latvia,4678.0,56.0
32,MCO,Monaco,306.0,1.0
33,MDA,Moldova,71503.0,1685.0
34,MKD,Macedonia,26954.0,919.0
35,MLT,Malta,5373.0,50.0
36,MNE,Montenegro,16797.0,266.0
37,NLD,Netherlands,290925.0,7036.0
38,NOR,Norway,17232.0,279.0
39,POL,Poland,253688.0,4438.0
40,PRT,Portugal,118686.0,2316.0
41,ROU,Romania,209648.0,6391.0
42,RUS,Russia,1513877.0,26050.0
43,SMR,San Marino,819.0,42.0
44,SRB,Serbia,39486.0,792.0
45,SVK,Slovakia,43843.0,159.0
46,SVN,Slovenia,22950.0,183.0
47,SWE,Sweden,110594.0,5933.0
48,UKR,Ukraine,343489.0,6391.0
49,VAT,Vatican,26.0,0.0
50,OWID_KOS,Kosovo,17943.0,663.0
