,iso_code,location,total_cases,total_deaths
0,ABW,Aruba,4420.0,36.0
1,AIA,Anguilla,3.0,0.0
2,ATG,Antigua and Barbuda,124.0,3.0
3,BES,Bonaire Sint Eustatius and Saba,150.0,3.0
4,BHS,Bahamas,6410.0,132.0
5,BLZ,Belize,3145.0,50.0
6,BMU,Bermuda,191.0,9.0
7,BRB,Barbados,227.0,7.0
8,CAN,Canada,216104.0,9946.0
9,CRI,Costa Rica,103088.0,1282.0
10,CUB,Cuba,6566.0,128.0
11,CUW,Curacao,858.0,1.0
12,CYM,Cayman Islands,239.0,1.0
13,DMA,Dominica,38.0,0.0
14,DOM,Dominican Republic,124527.0,2223.0
15,GRD,Grenada,28.0,0.0
16,GRL,Greenland,17.0,0.0
17,GTM,Guatemala,104787.0,3644.0
18,HND,Honduras,93214.0,2623.0
19,HTI,Haiti,9026.0,232.0
20,JAM,Jamaica,8714.0,188.0
21,KNA,Saint Kitts and Nevis,19.0,0.0
22,LCA,Saint Lucia,54.0,0.0
23,MEX,Mexico,891160.0,88924.0
24,MSR,Montserrat,13.0,1.0
25,NIC,Nicaragua,5434.0,155.0
26,PAN,Panama,129200.0,2633.0
27,PRI,Puerto Rico,62503.0,801.0
28,SLV,El Salvador,32585.0,953.0
29,SXM,Sint Maarten (Dutch part),784.0,22.0
30,TCA,Turks and Caicos Islands,701.0,6.0
31,TTO,Trinidad and Tobago,5511.0,105.0
32,USA,United States,8636165.0,225230.0
33,VCT,Saint Vincent and the Grenadines,73.0,0.0
34,VGB,British Virgin Islands,72.0,1.0
35,VIR,United States Virgin Islands,1348.0,21.0
