,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ALB,Europe,Albania,2020-03-09,2.0,2.0,,0.0,0.695,0.695,,0.0,,,,,,,,36.11,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
1,ALB,Europe,Albania,2020-03-10,6.0,4.0,,0.0,2.085,1.39,,0.0,,,,,,,,41.67,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
2,ALB,Europe,Albania,2020-03-11,10.0,4.0,,0.0,3.475,1.39,,0.0,,,,,,,,51.85,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
3,ALB,Europe,Albania,2020-03-12,11.0,1.0,1.0,1.0,3.822,0.34700000000000003,0.34700000000000003,0.34700000000000003,,,,,,,,51.85,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
4,ALB,Europe,Albania,2020-03-13,23.0,12.0,1.0,0.0,7.992000000000001,4.17,0.34700000000000003,0.0,,,,,,,,78.7,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
5,ALB,Europe,Albania,2020-03-14,33.0,10.0,1.0,0.0,11.467,3.475,0.34700000000000003,0.0,,,,,,,,78.7,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
6,ALB,Europe,Albania,2020-03-15,38.0,5.0,1.0,0.0,13.205,1.7369999999999999,0.34700000000000003,0.0,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
7,ALB,Europe,Albania,2020-03-16,42.0,4.0,1.0,0.0,14.594000000000001,1.39,0.34700000000000003,0.0,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
8,ALB,Europe,Albania,2020-03-17,51.0,9.0,1.0,0.0,17.722,3.127,0.34700000000000003,0.0,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
9,ALB,Europe,Albania,2020-03-18,55.0,4.0,1.0,0.0,19.112000000000002,1.39,0.34700000000000003,0.0,,,,,,,,81.48,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,,10.08,7.1,51.2,,2.89,78.57
