,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,DZA,Africa,Algeria,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
1,DZA,Africa,Algeria,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
2,DZA,Africa,Algeria,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
3,DZA,Africa,Algeria,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
4,DZA,Africa,Algeria,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
5,DZA,Africa,Algeria,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
6,DZA,Africa,Algeria,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
7,DZA,Africa,Algeria,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
8,DZA,Africa,Algeria,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
9,DZA,Africa,Algeria,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
10,DZA,Africa,Algeria,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
11,DZA,Africa,Algeria,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
12,DZA,Africa,Algeria,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
13,DZA,Africa,Algeria,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
14,DZA,Africa,Algeria,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
15,DZA,Africa,Algeria,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
16,DZA,Africa,Algeria,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
17,DZA,Africa,Algeria,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
18,DZA,Africa,Algeria,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
19,DZA,Africa,Algeria,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
20,DZA,Africa,Algeria,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
21,DZA,Africa,Algeria,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
22,DZA,Africa,Algeria,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
23,DZA,Africa,Algeria,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
24,DZA,Africa,Algeria,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
25,DZA,Africa,Algeria,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
26,DZA,Africa,Algeria,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
27,DZA,Africa,Algeria,2020-01-27,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
28,DZA,Africa,Algeria,2020-01-28,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
29,DZA,Africa,Algeria,2020-01-29,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
30,DZA,Africa,Algeria,2020-01-30,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
31,DZA,Africa,Algeria,2020-01-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
32,DZA,Africa,Algeria,2020-02-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
33,DZA,Africa,Algeria,2020-02-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
34,DZA,Africa,Algeria,2020-02-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
35,DZA,Africa,Algeria,2020-02-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
36,DZA,Africa,Algeria,2020-02-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
37,DZA,Africa,Algeria,2020-02-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
38,DZA,Africa,Algeria,2020-02-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
39,DZA,Africa,Algeria,2020-02-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
40,DZA,Africa,Algeria,2020-02-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
41,DZA,Africa,Algeria,2020-02-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
42,DZA,Africa,Algeria,2020-02-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,,6.73,0.7,30.4,83.741,1.9,76.88
