,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,AND,Europe,Andorra,2020-03-03,1.0,1.0,,0.0,12.942,12.942,,0.0,,,,,,,,0.0,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
1,AND,Europe,Andorra,2020-03-09,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
2,AND,Europe,Andorra,2020-03-10,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
3,AND,Europe,Andorra,2020-03-11,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
4,AND,Europe,Andorra,2020-03-12,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
5,AND,Europe,Andorra,2020-03-13,,,,,,,,,,,,,,,,9.26,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
6,AND,Europe,Andorra,2020-03-14,2.0,1.0,,0.0,25.885,12.942,,0.0,,,,,,,,20.37,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
7,AND,Europe,Andorra,2020-03-15,,,,,,,,,,,,,,,,20.37,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
8,AND,Europe,Andorra,2020-03-16,5.0,3.0,,0.0,64.712,38.827,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
9,AND,Europe,Andorra,2020-03-17,14.0,9.0,,0.0,181.195,116.48200000000001,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
10,AND,Europe,Andorra,2020-03-18,14.0,0.0,,0.0,181.195,0.0,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
11,AND,Europe,Andorra,2020-03-19,53.0,39.0,,0.0,685.951,504.756,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
12,AND,Europe,Andorra,2020-03-20,75.0,22.0,,0.0,970.685,284.73400000000004,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
13,AND,Europe,Andorra,2020-03-21,75.0,0.0,,0.0,970.685,0.0,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
14,AND,Europe,Andorra,2020-03-22,88.0,13.0,,0.0,1138.937,168.252,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
15,AND,Europe,Andorra,2020-03-23,113.0,25.0,,0.0,1462.499,323.562,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
16,AND,Europe,Andorra,2020-03-24,133.0,20.0,,0.0,1721.349,258.849,,0.0,,,,,,,,31.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
17,AND,Europe,Andorra,2020-03-25,164.0,31.0,,0.0,2122.565,401.217,,0.0,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
18,AND,Europe,Andorra,2020-03-26,188.0,24.0,,0.0,2433.1839999999997,310.619,,0.0,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
19,AND,Europe,Andorra,2020-03-27,224.0,36.0,3.0,3.0,2899.113,465.92900000000003,38.827,38.827,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
20,AND,Europe,Andorra,2020-03-28,267.0,43.0,3.0,0.0,3455.64,556.526,38.827,0.0,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
21,AND,Europe,Andorra,2020-03-29,308.0,41.0,4.0,1.0,3986.281,530.641,51.77,12.942,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
22,AND,Europe,Andorra,2020-03-30,334.0,26.0,6.0,2.0,4322.785,336.504,77.655,25.885,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
23,AND,Europe,Andorra,2020-03-31,370.0,36.0,8.0,2.0,4788.714,465.92900000000003,103.54,25.885,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
24,AND,Europe,Andorra,2020-04-01,376.0,6.0,12.0,4.0,4866.369000000001,77.655,155.31,51.77,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
25,AND,Europe,Andorra,2020-04-02,390.0,14.0,14.0,2.0,5047.564,181.195,181.195,25.885,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
26,AND,Europe,Andorra,2020-04-03,428.0,38.0,15.0,1.0,5539.3769999999995,491.814,194.137,12.942,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
27,AND,Europe,Andorra,2020-04-04,439.0,11.0,16.0,1.0,5681.745,142.36700000000002,207.08,12.942,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
28,AND,Europe,Andorra,2020-04-05,466.0,27.0,17.0,1.0,6031.191,349.44699999999995,220.02200000000002,12.942,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
29,AND,Europe,Andorra,2020-04-06,501.0,35.0,18.0,1.0,6484.178000000001,452.986,232.96400000000003,12.942,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
30,AND,Europe,Andorra,2020-04-07,526.0,25.0,21.0,3.0,6807.74,323.562,271.79200000000003,38.827,,,,,,,,48.15,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
31,AND,Europe,Andorra,2020-04-08,545.0,19.0,22.0,1.0,7053.647,245.907,284.73400000000004,12.942,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
32,AND,Europe,Andorra,2020-04-09,564.0,19.0,23.0,1.0,7299.553000000001,245.907,297.677,12.942,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
33,AND,Europe,Andorra,2020-04-10,583.0,19.0,25.0,2.0,7545.46,245.907,323.562,25.885,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
34,AND,Europe,Andorra,2020-04-11,601.0,18.0,26.0,1.0,7778.425,232.96400000000003,336.504,12.942,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
35,AND,Europe,Andorra,2020-04-12,622.0,21.0,28.0,2.0,8050.217,271.79200000000003,362.389,25.885,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
36,AND,Europe,Andorra,2020-04-13,638.0,16.0,29.0,1.0,8257.296,207.08,375.332,12.942,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
37,AND,Europe,Andorra,2020-04-14,646.0,8.0,29.0,0.0,8360.836,103.54,375.332,0.0,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
38,AND,Europe,Andorra,2020-04-15,659.0,13.0,31.0,2.0,8529.088,168.252,401.217,25.885,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
39,AND,Europe,Andorra,2020-04-16,673.0,14.0,33.0,2.0,8710.283000000001,181.195,427.102,25.885,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
40,AND,Europe,Andorra,2020-04-17,682.0,9.0,33.0,0.0,8826.765,116.48200000000001,427.102,0.0,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
41,AND,Europe,Andorra,2020-04-18,696.0,14.0,35.0,2.0,9007.96,181.195,452.986,25.885,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
42,AND,Europe,Andorra,2020-04-19,704.0,8.0,35.0,0.0,9111.499,103.54,452.986,0.0,,,,,,,,56.48,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
43,AND,Europe,Andorra,2020-04-20,713.0,9.0,36.0,1.0,9227.982,116.48200000000001,465.92900000000003,12.942,,,,,,,,52.78,77265.0,163.755,,,,,,,7.97,29.0,37.8,,,83.73
