,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,AGO,Africa,Angola,2020-03-22,2.0,2.0,,0.0,0.061,0.061,,0.0,,,,,,,,11.11,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
1,AGO,Africa,Angola,2020-03-23,2.0,0.0,,0.0,0.061,0.0,,0.0,,,,,,,,11.11,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
2,AGO,Africa,Angola,2020-03-24,2.0,0.0,,0.0,0.061,0.0,,0.0,,,,,,,,33.33,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
3,AGO,Africa,Angola,2020-03-25,2.0,0.0,,0.0,0.061,0.0,,0.0,,,,,,,,33.33,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
4,AGO,Africa,Angola,2020-03-26,2.0,0.0,,0.0,0.061,0.0,,0.0,,,,,,,,33.33,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
5,AGO,Africa,Angola,2020-03-27,3.0,1.0,,0.0,0.091,0.03,,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
6,AGO,Africa,Angola,2020-03-28,4.0,1.0,,0.0,0.122,0.03,,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
7,AGO,Africa,Angola,2020-03-29,4.0,0.0,,0.0,0.122,0.0,,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
8,AGO,Africa,Angola,2020-03-30,7.0,3.0,2.0,2.0,0.213,0.091,0.061,0.061,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
9,AGO,Africa,Angola,2020-03-31,7.0,0.0,2.0,0.0,0.213,0.0,0.061,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
10,AGO,Africa,Angola,2020-04-01,7.0,0.0,2.0,0.0,0.213,0.0,0.061,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
11,AGO,Africa,Angola,2020-04-02,8.0,1.0,2.0,0.0,0.243,0.03,0.061,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
12,AGO,Africa,Angola,2020-04-03,8.0,0.0,2.0,0.0,0.243,0.0,0.061,0.0,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,3.94,,,26.664,,61.15
