,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ATG,North America,Antigua and Barbuda,2020-03-15,1.0,1.0,,0.0,10.212,10.212,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
1,ATG,North America,Antigua and Barbuda,2020-03-21,1.0,0.0,,0.0,10.212,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
2,ATG,North America,Antigua and Barbuda,2020-03-22,1.0,0.0,,0.0,10.212,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
3,ATG,North America,Antigua and Barbuda,2020-03-23,1.0,0.0,,0.0,10.212,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
4,ATG,North America,Antigua and Barbuda,2020-03-24,1.0,0.0,,0.0,10.212,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
5,ATG,North America,Antigua and Barbuda,2020-03-25,3.0,2.0,,0.0,30.635,20.423,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
6,ATG,North America,Antigua and Barbuda,2020-03-26,3.0,0.0,,0.0,30.635,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
7,ATG,North America,Antigua and Barbuda,2020-03-27,7.0,4.0,,0.0,71.48100000000001,40.846,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
8,ATG,North America,Antigua and Barbuda,2020-03-28,7.0,0.0,,0.0,71.48100000000001,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
9,ATG,North America,Antigua and Barbuda,2020-03-29,7.0,0.0,,0.0,71.48100000000001,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
10,ATG,North America,Antigua and Barbuda,2020-03-30,7.0,0.0,,0.0,71.48100000000001,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
11,ATG,North America,Antigua and Barbuda,2020-03-31,7.0,0.0,,0.0,71.48100000000001,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
12,ATG,North America,Antigua and Barbuda,2020-04-01,7.0,0.0,,0.0,71.48100000000001,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
13,ATG,North America,Antigua and Barbuda,2020-04-02,7.0,0.0,,0.0,71.48100000000001,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
14,ATG,North America,Antigua and Barbuda,2020-04-03,9.0,2.0,,0.0,91.904,20.423,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
15,ATG,North America,Antigua and Barbuda,2020-04-04,15.0,6.0,,0.0,153.174,61.27,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
16,ATG,North America,Antigua and Barbuda,2020-04-05,15.0,0.0,,0.0,153.174,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
17,ATG,North America,Antigua and Barbuda,2020-04-06,15.0,0.0,,0.0,153.174,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
18,ATG,North America,Antigua and Barbuda,2020-04-07,15.0,0.0,,0.0,153.174,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
19,ATG,North America,Antigua and Barbuda,2020-04-08,15.0,0.0,,0.0,153.174,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
20,ATG,North America,Antigua and Barbuda,2020-04-09,15.0,0.0,,0.0,153.174,0.0,,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
21,ATG,North America,Antigua and Barbuda,2020-04-10,19.0,4.0,2.0,2.0,194.02,40.846,20.423,20.423,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,,13.17,,,,3.8,77.02
