,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,AUT,Europe,Austria,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
1,AUT,Europe,Austria,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
2,AUT,Europe,Austria,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
3,AUT,Europe,Austria,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
4,AUT,Europe,Austria,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
5,AUT,Europe,Austria,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
6,AUT,Europe,Austria,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
7,AUT,Europe,Austria,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
8,AUT,Europe,Austria,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
9,AUT,Europe,Austria,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
10,AUT,Europe,Austria,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
11,AUT,Europe,Austria,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
12,AUT,Europe,Austria,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
13,AUT,Europe,Austria,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
14,AUT,Europe,Austria,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
15,AUT,Europe,Austria,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
16,AUT,Europe,Austria,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
17,AUT,Europe,Austria,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
18,AUT,Europe,Austria,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
19,AUT,Europe,Austria,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
20,AUT,Europe,Austria,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
21,AUT,Europe,Austria,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
22,AUT,Europe,Austria,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
23,AUT,Europe,Austria,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
24,AUT,Europe,Austria,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
25,AUT,Europe,Austria,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
26,AUT,Europe,Austria,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
27,AUT,Europe,Austria,2020-01-27,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
28,AUT,Europe,Austria,2020-01-28,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
29,AUT,Europe,Austria,2020-01-29,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
30,AUT,Europe,Austria,2020-01-30,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
31,AUT,Europe,Austria,2020-01-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
32,AUT,Europe,Austria,2020-02-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
33,AUT,Europe,Austria,2020-02-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
34,AUT,Europe,Austria,2020-02-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
35,AUT,Europe,Austria,2020-02-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
36,AUT,Europe,Austria,2020-02-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
37,AUT,Europe,Austria,2020-02-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
38,AUT,Europe,Austria,2020-02-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
39,AUT,Europe,Austria,2020-02-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
40,AUT,Europe,Austria,2020-02-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,,6.35,28.4,30.9,,7.37,81.54
