,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BHR,Asia,Bahrain,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
1,BHR,Asia,Bahrain,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
2,BHR,Asia,Bahrain,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
3,BHR,Asia,Bahrain,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
4,BHR,Asia,Bahrain,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
5,BHR,Asia,Bahrain,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
6,BHR,Asia,Bahrain,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
7,BHR,Asia,Bahrain,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
8,BHR,Asia,Bahrain,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
9,BHR,Asia,Bahrain,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
10,BHR,Asia,Bahrain,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
11,BHR,Asia,Bahrain,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
12,BHR,Asia,Bahrain,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
13,BHR,Asia,Bahrain,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
14,BHR,Asia,Bahrain,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
15,BHR,Asia,Bahrain,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
16,BHR,Asia,Bahrain,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
17,BHR,Asia,Bahrain,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,,16.52,5.8,37.6,,2.0,77.29
