,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BGD,Asia,Bangladesh,2020-03-03,,,,,,,,,108.0,108.0,0.001,0.001,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
1,BGD,Asia,Bangladesh,2020-03-04,,,,,,,,,111.0,3.0,0.001,0.0,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
2,BGD,Asia,Bangladesh,2020-03-05,,,,,,,,,,,,,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
3,BGD,Asia,Bangladesh,2020-03-06,,,,,,,,,120.0,9.0,0.001,0.0,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
4,BGD,Asia,Bangladesh,2020-03-07,,,,,,,,,127.0,7.0,0.001,0.0,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
5,BGD,Asia,Bangladesh,2020-03-08,,,,,,,,,137.0,10.0,0.001,0.0,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
6,BGD,Asia,Bangladesh,2020-03-09,3.0,3.0,,0.0,0.018000000000000002,0.018000000000000002,,0.0,147.0,10.0,0.001,0.0,,,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
7,BGD,Asia,Bangladesh,2020-03-10,,,,,,,,,163.0,16.0,0.001,0.0,8.0,0.0,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
8,BGD,Asia,Bangladesh,2020-03-11,,,,,,,,,187.0,24.0,0.001,0.0,11.0,0.0,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
9,BGD,Asia,Bangladesh,2020-03-12,,,,,,,,,211.0,24.0,0.001,0.0,14.0,0.0,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
10,BGD,Asia,Bangladesh,2020-03-13,,,,,,,,,241.0,30.0,0.001,0.0,17.0,0.0,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
11,BGD,Asia,Bangladesh,2020-03-14,,,,,,,,,268.0,27.0,0.002,0.0,20.0,0.0,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
12,BGD,Asia,Bangladesh,2020-03-15,3.0,0.0,,0.0,0.018000000000000002,0.0,,0.0,293.0,25.0,0.002,0.0,22.0,0.0,tests performed,13.89,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
13,BGD,Asia,Bangladesh,2020-03-16,,,,,,,,,342.0,49.0,0.002,0.0,28.0,0.0,tests performed,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
14,BGD,Asia,Bangladesh,2020-03-17,5.0,2.0,,0.0,0.03,0.012,,0.0,381.0,39.0,0.002,0.0,31.0,0.0,tests performed,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
15,BGD,Asia,Bangladesh,2020-03-18,8.0,3.0,,0.0,0.049,0.018000000000000002,,0.0,427.0,46.0,0.003,0.0,34.0,0.0,tests performed,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
16,BGD,Asia,Bangladesh,2020-03-19,10.0,2.0,,0.0,0.061,0.012,,0.0,463.0,36.0,0.003,0.0,36.0,0.0,tests performed,75.93,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
17,BGD,Asia,Bangladesh,2020-03-20,10.0,0.0,,0.0,0.061,0.0,,0.0,499.0,36.0,0.003,0.0,37.0,0.0,tests performed,75.93,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
18,BGD,Asia,Bangladesh,2020-03-21,17.0,7.0,,0.0,0.10300000000000001,0.043,,0.0,564.0,65.0,0.003,0.0,42.0,0.0,tests performed,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
19,BGD,Asia,Bangladesh,2020-03-22,24.0,7.0,2.0,2.0,0.146,0.043,0.012,0.012,620.0,56.0,0.004,0.0,47.0,0.0,tests performed,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
20,BGD,Asia,Bangladesh,2020-03-23,27.0,3.0,3.0,1.0,0.16399999999999998,0.018000000000000002,0.018000000000000002,0.006,712.0,92.0,0.004,0.001,53.0,0.0,tests performed,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
21,BGD,Asia,Bangladesh,2020-03-24,33.0,6.0,3.0,0.0,0.2,0.036000000000000004,0.018000000000000002,0.0,794.0,82.0,0.005,0.0,59.0,0.0,tests performed,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
22,BGD,Asia,Bangladesh,2020-03-25,39.0,6.0,4.0,1.0,0.237,0.036000000000000004,0.024,0.006,920.0,126.0,0.006,0.001,70.0,0.0,tests performed,82.41,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,,8.38,1.0,44.7,34.808,0.8,72.59
