,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BRB,North America,Barbados,2020-03-18,1.0,1.0,,0.0,3.48,3.48,,0.0,,,,,,,,38.89,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
1,BRB,North America,Barbados,2020-03-19,1.0,0.0,,0.0,3.48,0.0,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
2,BRB,North America,Barbados,2020-03-20,2.0,1.0,,0.0,6.96,3.48,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
3,BRB,North America,Barbados,2020-03-21,6.0,4.0,,0.0,20.879,13.919,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
4,BRB,North America,Barbados,2020-03-22,14.0,8.0,,0.0,48.718,27.839000000000002,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
5,BRB,North America,Barbados,2020-03-23,17.0,3.0,,0.0,59.157,10.439,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
6,BRB,North America,Barbados,2020-03-24,17.0,0.0,,0.0,59.157,0.0,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
7,BRB,North America,Barbados,2020-03-25,18.0,1.0,,0.0,62.637,3.48,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
8,BRB,North America,Barbados,2020-03-26,18.0,0.0,,0.0,62.637,0.0,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
9,BRB,North America,Barbados,2020-03-27,24.0,6.0,,0.0,83.516,20.879,,0.0,,,,,,,,50.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,,13.57,1.9,14.5,88.469,5.8,79.19
