,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BLZ,North America,Belize,2020-03-24,1.0,1.0,,0.0,2.515,2.515,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
1,BLZ,North America,Belize,2020-03-25,1.0,0.0,,0.0,2.515,0.0,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
2,BLZ,North America,Belize,2020-03-26,2.0,1.0,,0.0,5.03,2.515,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
3,BLZ,North America,Belize,2020-03-27,2.0,0.0,,0.0,5.03,0.0,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
4,BLZ,North America,Belize,2020-03-28,2.0,0.0,,0.0,5.03,0.0,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
5,BLZ,North America,Belize,2020-03-29,2.0,0.0,,0.0,5.03,0.0,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
6,BLZ,North America,Belize,2020-03-30,2.0,0.0,,0.0,5.03,0.0,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
7,BLZ,North America,Belize,2020-03-31,3.0,1.0,,0.0,7.545,2.515,,0.0,,,,,,,,54.63,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
8,BLZ,North America,Belize,2020-04-01,3.0,0.0,,0.0,7.545,0.0,,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
9,BLZ,North America,Belize,2020-04-02,3.0,0.0,,0.0,7.545,0.0,,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
10,BLZ,North America,Belize,2020-04-03,3.0,0.0,,0.0,7.545,0.0,,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
11,BLZ,North America,Belize,2020-04-04,4.0,1.0,,0.0,10.06,2.515,,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
12,BLZ,North America,Belize,2020-04-05,4.0,0.0,,0.0,10.06,0.0,,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
13,BLZ,North America,Belize,2020-04-06,5.0,1.0,1.0,1.0,12.575,2.515,2.515,2.515,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
14,BLZ,North America,Belize,2020-04-07,7.0,2.0,1.0,0.0,17.605,5.03,2.515,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
15,BLZ,North America,Belize,2020-04-08,7.0,0.0,1.0,0.0,17.605,0.0,2.515,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
16,BLZ,North America,Belize,2020-04-09,8.0,1.0,1.0,0.0,20.12,2.515,2.515,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
17,BLZ,North America,Belize,2020-04-10,9.0,1.0,1.0,0.0,22.635,2.515,2.515,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
18,BLZ,North America,Belize,2020-04-11,10.0,1.0,2.0,1.0,25.15,2.515,5.03,2.515,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
19,BLZ,North America,Belize,2020-04-12,13.0,3.0,2.0,0.0,32.694,7.545,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
20,BLZ,North America,Belize,2020-04-13,14.0,1.0,2.0,0.0,35.209,2.515,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
21,BLZ,North America,Belize,2020-04-14,18.0,4.0,2.0,0.0,45.269,10.06,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
22,BLZ,North America,Belize,2020-04-15,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
23,BLZ,North America,Belize,2020-04-16,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
24,BLZ,North America,Belize,2020-04-17,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
25,BLZ,North America,Belize,2020-04-18,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
26,BLZ,North America,Belize,2020-04-19,18.0,0.0,2.0,0.0,45.269,0.0,5.03,0.0,,,,,,,,75.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,,17.11,,,90.083,1.3,74.62
