,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BMU,North America,Bermuda,2020-03-20,2.0,2.0,,0.0,32.117,32.117,,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
1,BMU,North America,Bermuda,2020-03-21,2.0,0.0,,0.0,32.117,0.0,,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
2,BMU,North America,Bermuda,2020-03-22,2.0,0.0,,0.0,32.117,0.0,,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
3,BMU,North America,Bermuda,2020-03-23,6.0,4.0,,0.0,96.35,64.233,,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
4,BMU,North America,Bermuda,2020-03-24,6.0,0.0,,0.0,96.35,0.0,,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
5,BMU,North America,Bermuda,2020-03-25,6.0,0.0,,0.0,96.35,0.0,,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
6,BMU,North America,Bermuda,2020-03-26,6.0,0.0,,0.0,96.35,0.0,,0.0,,,,,,,,51.85,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
7,BMU,North America,Bermuda,2020-03-27,15.0,9.0,,0.0,240.875,144.525,,0.0,,,,,,,,51.85,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
8,BMU,North America,Bermuda,2020-03-28,17.0,2.0,,0.0,272.992,32.117,,0.0,,,,,,,,51.85,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
9,BMU,North America,Bermuda,2020-03-29,22.0,5.0,,0.0,353.283,80.292,,0.0,,,,,,,,51.85,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
10,BMU,North America,Bermuda,2020-03-30,22.0,0.0,,0.0,353.283,0.0,,0.0,,,,,,,,51.85,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
11,BMU,North America,Bermuda,2020-03-31,27.0,5.0,,0.0,433.575,80.292,,0.0,,,,,,,,51.85,62273.0,1308.82,,,,50669.315,,,13.0,,,,,82.59
