,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BTN,Asia,Bhutan,2020-03-06,1.0,1.0,,0.0,1.296,1.296,,0.0,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
1,BTN,Asia,Bhutan,2020-03-12,,,,,,,,,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
2,BTN,Asia,Bhutan,2020-03-13,1.0,0.0,,0.0,1.296,0.0,,0.0,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
3,BTN,Asia,Bhutan,2020-03-14,,,,,,,,,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
4,BTN,Asia,Bhutan,2020-03-15,1.0,0.0,,0.0,1.296,0.0,,0.0,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
5,BTN,Asia,Bhutan,2020-03-16,,,,,,,,,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
6,BTN,Asia,Bhutan,2020-03-17,1.0,0.0,,0.0,1.296,0.0,,0.0,,,,,,,,31.48,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
7,BTN,Asia,Bhutan,2020-03-18,1.0,0.0,,0.0,1.296,0.0,,0.0,,,,,,,,33.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
8,BTN,Asia,Bhutan,2020-03-19,1.0,0.0,,0.0,1.296,0.0,,0.0,,,,,,,,33.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
9,BTN,Asia,Bhutan,2020-03-20,1.0,0.0,,0.0,1.296,0.0,,0.0,,,,,,,,33.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
10,BTN,Asia,Bhutan,2020-03-21,2.0,1.0,,0.0,2.592,1.296,,0.0,,,,,,,,33.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
11,BTN,Asia,Bhutan,2020-03-22,2.0,0.0,,0.0,2.592,0.0,,0.0,,,,,,,,33.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
12,BTN,Asia,Bhutan,2020-03-23,2.0,0.0,,0.0,2.592,0.0,,0.0,,,,,,,,38.89,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
13,BTN,Asia,Bhutan,2020-03-24,2.0,0.0,,0.0,2.592,0.0,,0.0,,,,,,,,38.89,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
14,BTN,Asia,Bhutan,2020-03-25,2.0,0.0,,0.0,2.592,0.0,,0.0,,,,,,,,38.89,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
15,BTN,Asia,Bhutan,2020-03-26,3.0,1.0,,0.0,3.888,1.296,,0.0,,,,,,,,42.59,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
16,BTN,Asia,Bhutan,2020-03-27,3.0,0.0,,0.0,3.888,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
17,BTN,Asia,Bhutan,2020-03-28,3.0,0.0,,0.0,3.888,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
18,BTN,Asia,Bhutan,2020-03-29,4.0,1.0,,0.0,5.184,1.296,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
19,BTN,Asia,Bhutan,2020-03-30,4.0,0.0,,0.0,5.184,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
20,BTN,Asia,Bhutan,2020-03-31,4.0,0.0,,0.0,5.184,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
21,BTN,Asia,Bhutan,2020-04-01,4.0,0.0,,0.0,5.184,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
22,BTN,Asia,Bhutan,2020-04-02,5.0,1.0,,0.0,6.48,1.296,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
23,BTN,Asia,Bhutan,2020-04-03,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
24,BTN,Asia,Bhutan,2020-04-04,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
25,BTN,Asia,Bhutan,2020-04-05,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
26,BTN,Asia,Bhutan,2020-04-06,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
27,BTN,Asia,Bhutan,2020-04-07,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
28,BTN,Asia,Bhutan,2020-04-08,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
29,BTN,Asia,Bhutan,2020-04-09,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
30,BTN,Asia,Bhutan,2020-04-10,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
31,BTN,Asia,Bhutan,2020-04-11,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
32,BTN,Asia,Bhutan,2020-04-12,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
33,BTN,Asia,Bhutan,2020-04-13,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
34,BTN,Asia,Bhutan,2020-04-14,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
35,BTN,Asia,Bhutan,2020-04-15,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
36,BTN,Asia,Bhutan,2020-04-16,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
37,BTN,Asia,Bhutan,2020-04-17,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
38,BTN,Asia,Bhutan,2020-04-18,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
39,BTN,Asia,Bhutan,2020-04-19,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
40,BTN,Asia,Bhutan,2020-04-20,5.0,0.0,,0.0,6.48,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
41,BTN,Asia,Bhutan,2020-04-21,6.0,1.0,,0.0,7.776,1.296,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
42,BTN,Asia,Bhutan,2020-04-22,6.0,0.0,,0.0,7.776,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
43,BTN,Asia,Bhutan,2020-04-23,7.0,1.0,,0.0,9.072000000000001,1.296,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
44,BTN,Asia,Bhutan,2020-04-24,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
45,BTN,Asia,Bhutan,2020-04-25,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
46,BTN,Asia,Bhutan,2020-04-26,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
47,BTN,Asia,Bhutan,2020-04-27,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
48,BTN,Asia,Bhutan,2020-04-28,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
49,BTN,Asia,Bhutan,2020-04-29,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
50,BTN,Asia,Bhutan,2020-04-30,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
51,BTN,Asia,Bhutan,2020-05-01,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
52,BTN,Asia,Bhutan,2020-05-02,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
53,BTN,Asia,Bhutan,2020-05-03,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
54,BTN,Asia,Bhutan,2020-05-04,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
55,BTN,Asia,Bhutan,2020-05-05,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
56,BTN,Asia,Bhutan,2020-05-06,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
57,BTN,Asia,Bhutan,2020-05-07,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
58,BTN,Asia,Bhutan,2020-05-08,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
59,BTN,Asia,Bhutan,2020-05-09,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
60,BTN,Asia,Bhutan,2020-05-10,7.0,0.0,,0.0,9.072000000000001,0.0,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
61,BTN,Asia,Bhutan,2020-05-11,9.0,2.0,,0.0,11.664000000000001,2.592,,0.0,,,,,,,,83.33,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,,9.75,,,79.807,1.7,71.78
