,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BOL,South America,Bolivia,2020-03-12,2.0,2.0,,0.0,0.171,0.171,,0.0,,,,,,,,30.56,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
1,BOL,South America,Bolivia,2020-03-13,3.0,1.0,,0.0,0.257,0.086,,0.0,,,,,,,,44.44,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
2,BOL,South America,Bolivia,2020-03-14,10.0,7.0,,0.0,0.857,0.6,,0.0,26.0,,0.002,,,,tests performed,44.44,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
3,BOL,South America,Bolivia,2020-03-15,10.0,0.0,,0.0,0.857,0.0,,0.0,33.0,7.0,0.003,0.001,,,tests performed,44.44,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
4,BOL,South America,Bolivia,2020-03-16,,,,,,,,,45.0,12.0,0.004,0.001,,,tests performed,52.78,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
5,BOL,South America,Bolivia,2020-03-17,11.0,1.0,,0.0,0.9420000000000001,0.086,,0.0,50.0,5.0,0.004,0.0,,,tests performed,68.52,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
6,BOL,South America,Bolivia,2020-03-18,12.0,1.0,,0.0,1.028,0.086,,0.0,51.0,1.0,0.004,0.0,,,tests performed,75.0,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
7,BOL,South America,Bolivia,2020-03-19,12.0,0.0,,0.0,1.028,0.0,,0.0,84.0,33.0,0.006999999999999999,0.003,,,tests performed,75.0,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
8,BOL,South America,Bolivia,2020-03-20,15.0,3.0,,0.0,1.285,0.257,,0.0,111.0,27.0,0.01,0.002,,,tests performed,75.0,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
9,BOL,South America,Bolivia,2020-03-21,19.0,4.0,,0.0,1.6280000000000001,0.34299999999999997,,0.0,139.0,28.0,0.012,0.002,16.0,0.001,tests performed,86.11,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,,6.89,,,25.383000000000003,1.1,71.51
