,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BWA,Africa,Botswana,2020-04-01,3.0,3.0,,0.0,1.276,1.276,,0.0,,,,,,,,61.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
1,BWA,Africa,Botswana,2020-04-02,4.0,1.0,1.0,1.0,1.7009999999999998,0.425,0.425,0.425,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
2,BWA,Africa,Botswana,2020-04-03,4.0,0.0,1.0,0.0,1.7009999999999998,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
3,BWA,Africa,Botswana,2020-04-04,4.0,0.0,1.0,0.0,1.7009999999999998,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
4,BWA,Africa,Botswana,2020-04-05,4.0,0.0,1.0,0.0,1.7009999999999998,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
5,BWA,Africa,Botswana,2020-04-06,6.0,2.0,1.0,0.0,2.551,0.85,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
6,BWA,Africa,Botswana,2020-04-07,6.0,0.0,1.0,0.0,2.551,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
7,BWA,Africa,Botswana,2020-04-08,6.0,0.0,1.0,0.0,2.551,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
8,BWA,Africa,Botswana,2020-04-09,7.0,1.0,1.0,0.0,2.977,0.425,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
9,BWA,Africa,Botswana,2020-04-10,13.0,6.0,1.0,0.0,5.528,2.551,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
10,BWA,Africa,Botswana,2020-04-11,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
11,BWA,Africa,Botswana,2020-04-12,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
12,BWA,Africa,Botswana,2020-04-13,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
13,BWA,Africa,Botswana,2020-04-14,13.0,0.0,1.0,0.0,5.528,0.0,0.425,0.0,,,,,,,,86.11,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,,4.81,5.7,34.4,,1.8,69.59
