,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BGR,Europe,Bulgaria,2020-03-08,2.0,2.0,,0.0,0.28800000000000003,0.28800000000000003,,0.0,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
1,BGR,Europe,Bulgaria,2020-03-09,4.0,2.0,,0.0,0.5760000000000001,0.28800000000000003,,0.0,,,,,,,,21.3,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
2,BGR,Europe,Bulgaria,2020-03-12,7.0,3.0,1.0,1.0,1.0070000000000001,0.43200000000000005,0.14400000000000002,0.14400000000000002,,,,,,,,26.85,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
3,BGR,Europe,Bulgaria,2020-03-13,23.0,16.0,1.0,0.0,3.31,2.303,0.14400000000000002,0.0,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
4,BGR,Europe,Bulgaria,2020-03-14,31.0,8.0,1.0,0.0,4.461,1.151,0.14400000000000002,0.0,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
5,BGR,Europe,Bulgaria,2020-03-15,41.0,10.0,2.0,1.0,5.901,1.439,0.28800000000000003,0.14400000000000002,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
6,BGR,Europe,Bulgaria,2020-03-16,51.0,10.0,2.0,0.0,7.34,1.439,0.28800000000000003,0.0,,,,,,,,50.93,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
7,BGR,Europe,Bulgaria,2020-03-17,62.0,11.0,2.0,0.0,8.923,1.5830000000000002,0.28800000000000003,0.0,,,,,,,,56.48,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
8,BGR,Europe,Bulgaria,2020-03-18,81.0,19.0,2.0,0.0,11.657,2.734,0.28800000000000003,0.0,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
9,BGR,Europe,Bulgaria,2020-03-19,92.0,11.0,2.0,0.0,13.24,1.5830000000000002,0.28800000000000003,0.0,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
10,BGR,Europe,Bulgaria,2020-03-20,105.0,13.0,3.0,1.0,15.110999999999999,1.871,0.43200000000000005,0.14400000000000002,,,,,,,,70.37,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
11,BGR,Europe,Bulgaria,2020-03-21,127.0,22.0,3.0,0.0,18.277,3.1660000000000004,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
12,BGR,Europe,Bulgaria,2020-03-22,163.0,36.0,3.0,0.0,23.458000000000002,5.181,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
13,BGR,Europe,Bulgaria,2020-03-23,185.0,22.0,3.0,0.0,26.625,3.1660000000000004,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
14,BGR,Europe,Bulgaria,2020-03-24,201.0,16.0,3.0,0.0,28.927,2.303,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
15,BGR,Europe,Bulgaria,2020-03-25,220.0,19.0,3.0,0.0,31.662,2.734,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
16,BGR,Europe,Bulgaria,2020-03-26,242.0,22.0,3.0,0.0,34.828,3.1660000000000004,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
17,BGR,Europe,Bulgaria,2020-03-27,264.0,22.0,3.0,0.0,37.994,3.1660000000000004,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
18,BGR,Europe,Bulgaria,2020-03-28,293.0,29.0,3.0,0.0,42.168,4.1739999999999995,0.43200000000000005,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
19,BGR,Europe,Bulgaria,2020-03-29,331.0,38.0,7.0,4.0,47.637,5.468999999999999,1.0070000000000001,0.5760000000000001,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
20,BGR,Europe,Bulgaria,2020-03-30,346.0,15.0,8.0,1.0,49.795,2.1590000000000003,1.151,0.14400000000000002,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
21,BGR,Europe,Bulgaria,2020-03-31,359.0,13.0,8.0,0.0,51.666000000000004,1.871,1.151,0.0,,,,,,,,73.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,,5.81,30.1,44.4,,7.454,75.05
