,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,BDI,Africa,Burundi,2020-04-01,2.0,2.0,,0.0,0.168,0.168,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
1,BDI,Africa,Burundi,2020-04-02,2.0,0.0,,0.0,0.168,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
2,BDI,Africa,Burundi,2020-04-03,3.0,1.0,,0.0,0.252,0.084,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
3,BDI,Africa,Burundi,2020-04-04,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
4,BDI,Africa,Burundi,2020-04-05,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
5,BDI,Africa,Burundi,2020-04-06,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
6,BDI,Africa,Burundi,2020-04-07,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
7,BDI,Africa,Burundi,2020-04-08,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
8,BDI,Africa,Burundi,2020-04-09,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
9,BDI,Africa,Burundi,2020-04-10,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
10,BDI,Africa,Burundi,2020-04-11,3.0,0.0,,0.0,0.252,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
11,BDI,Africa,Burundi,2020-04-12,5.0,2.0,,0.0,0.42,0.168,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
12,BDI,Africa,Burundi,2020-04-13,5.0,0.0,,0.0,0.42,0.0,,0.0,,,,,,,,13.89,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,,6.05,,,6.144,0.8,61.58
