,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,KHM,Asia,Cambodia,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
1,KHM,Asia,Cambodia,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
2,KHM,Asia,Cambodia,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
3,KHM,Asia,Cambodia,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
4,KHM,Asia,Cambodia,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
5,KHM,Asia,Cambodia,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
6,KHM,Asia,Cambodia,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
7,KHM,Asia,Cambodia,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
8,KHM,Asia,Cambodia,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
9,KHM,Asia,Cambodia,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
10,KHM,Asia,Cambodia,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
11,KHM,Asia,Cambodia,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
12,KHM,Asia,Cambodia,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
13,KHM,Asia,Cambodia,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
14,KHM,Asia,Cambodia,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
15,KHM,Asia,Cambodia,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
16,KHM,Asia,Cambodia,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
17,KHM,Asia,Cambodia,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
18,KHM,Asia,Cambodia,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
19,KHM,Asia,Cambodia,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
20,KHM,Asia,Cambodia,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
21,KHM,Asia,Cambodia,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
22,KHM,Asia,Cambodia,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
23,KHM,Asia,Cambodia,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
24,KHM,Asia,Cambodia,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
25,KHM,Asia,Cambodia,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
26,KHM,Asia,Cambodia,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
27,KHM,Asia,Cambodia,2020-01-27,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
28,KHM,Asia,Cambodia,2020-01-28,1.0,1.0,,0.0,0.06,0.06,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
29,KHM,Asia,Cambodia,2020-01-29,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
30,KHM,Asia,Cambodia,2020-01-30,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
31,KHM,Asia,Cambodia,2020-01-31,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
32,KHM,Asia,Cambodia,2020-02-01,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
33,KHM,Asia,Cambodia,2020-02-02,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
34,KHM,Asia,Cambodia,2020-02-03,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
35,KHM,Asia,Cambodia,2020-02-04,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
36,KHM,Asia,Cambodia,2020-02-05,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
37,KHM,Asia,Cambodia,2020-02-06,1.0,0.0,,0.0,0.06,0.0,,0.0,,,,,,,,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,,4.0,2.0,33.7,66.229,0.8,69.82
