,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CMR,Africa,Cameroon,2020-03-07,1.0,1.0,,0.0,0.038,0.038,,0.0,,,,,,,,0.0,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
1,CMR,Africa,Cameroon,2020-03-09,2.0,1.0,,0.0,0.075,0.038,,0.0,,,,,,,,0.0,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
2,CMR,Africa,Cameroon,2020-03-13,,,,,,,,,,,,,,,,2.78,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
3,CMR,Africa,Cameroon,2020-03-14,,,,,,,,,,,,,,,,2.78,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
4,CMR,Africa,Cameroon,2020-03-15,3.0,1.0,,0.0,0.113,0.038,,0.0,,,,,,,,2.78,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
5,CMR,Africa,Cameroon,2020-03-16,4.0,1.0,,0.0,0.151,0.038,,0.0,,,,,,,,2.78,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
6,CMR,Africa,Cameroon,2020-03-17,4.0,0.0,,0.0,0.151,0.0,,0.0,,,,,,,,2.78,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
7,CMR,Africa,Cameroon,2020-03-18,10.0,6.0,,0.0,0.377,0.226,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
8,CMR,Africa,Cameroon,2020-03-19,10.0,0.0,,0.0,0.377,0.0,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
9,CMR,Africa,Cameroon,2020-03-20,14.0,4.0,,0.0,0.527,0.151,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
10,CMR,Africa,Cameroon,2020-03-21,27.0,13.0,,0.0,1.0170000000000001,0.49,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
11,CMR,Africa,Cameroon,2020-03-22,27.0,0.0,,0.0,1.0170000000000001,0.0,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
12,CMR,Africa,Cameroon,2020-03-23,27.0,0.0,,0.0,1.0170000000000001,0.0,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
13,CMR,Africa,Cameroon,2020-03-24,56.0,29.0,,0.0,2.11,1.092,,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
14,CMR,Africa,Cameroon,2020-03-25,72.0,16.0,1.0,1.0,2.7119999999999997,0.603,0.038,0.038,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
15,CMR,Africa,Cameroon,2020-03-26,72.0,0.0,1.0,0.0,2.7119999999999997,0.0,0.038,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
16,CMR,Africa,Cameroon,2020-03-27,88.0,16.0,1.0,0.0,3.315,0.603,0.038,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
17,CMR,Africa,Cameroon,2020-03-28,88.0,0.0,1.0,0.0,3.315,0.0,0.038,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
18,CMR,Africa,Cameroon,2020-03-29,99.0,11.0,2.0,1.0,3.7289999999999996,0.414,0.075,0.038,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
19,CMR,Africa,Cameroon,2020-03-30,99.0,0.0,2.0,0.0,3.7289999999999996,0.0,0.075,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
20,CMR,Africa,Cameroon,2020-03-31,142.0,43.0,2.0,0.0,5.349,1.62,0.075,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
21,CMR,Africa,Cameroon,2020-04-01,193.0,51.0,6.0,4.0,7.27,1.921,0.226,0.151,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
22,CMR,Africa,Cameroon,2020-04-02,233.0,40.0,6.0,0.0,8.777000000000001,1.507,0.226,0.0,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
23,CMR,Africa,Cameroon,2020-04-03,271.0,38.0,7.0,1.0,10.209,1.431,0.264,0.038,,,,,,,,57.41,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
24,CMR,Africa,Cameroon,2020-04-04,509.0,238.0,8.0,1.0,19.174,8.966000000000001,0.301,0.038,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
25,CMR,Africa,Cameroon,2020-04-05,555.0,46.0,9.0,1.0,20.906999999999996,1.733,0.33899999999999997,0.038,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
26,CMR,Africa,Cameroon,2020-04-06,650.0,95.0,9.0,0.0,24.486,3.5789999999999997,0.33899999999999997,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
27,CMR,Africa,Cameroon,2020-04-07,658.0,8.0,9.0,0.0,24.787,0.301,0.33899999999999997,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
28,CMR,Africa,Cameroon,2020-04-08,685.0,27.0,9.0,0.0,25.804000000000002,1.0170000000000001,0.33899999999999997,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
29,CMR,Africa,Cameroon,2020-04-09,730.0,45.0,10.0,1.0,27.5,1.695,0.377,0.038,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
30,CMR,Africa,Cameroon,2020-04-10,730.0,0.0,10.0,0.0,27.5,0.0,0.377,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
31,CMR,Africa,Cameroon,2020-04-11,803.0,73.0,10.0,0.0,30.25,2.75,0.377,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
32,CMR,Africa,Cameroon,2020-04-12,820.0,17.0,11.0,1.0,30.89,0.64,0.414,0.038,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
33,CMR,Africa,Cameroon,2020-04-13,820.0,0.0,12.0,1.0,30.89,0.0,0.452,0.038,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
34,CMR,Africa,Cameroon,2020-04-14,820.0,0.0,12.0,0.0,30.89,0.0,0.452,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
35,CMR,Africa,Cameroon,2020-04-15,855.0,35.0,17.0,5.0,32.208,1.318,0.64,0.188,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
36,CMR,Africa,Cameroon,2020-04-16,855.0,0.0,17.0,0.0,32.208,0.0,0.64,0.0,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
37,CMR,Africa,Cameroon,2020-04-17,855.0,0.0,21.0,4.0,32.208,0.0,0.7909999999999999,0.151,,,,,,,,68.52,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
38,CMR,Africa,Cameroon,2020-04-18,1016.0,161.0,21.0,0.0,38.273,6.065,0.7909999999999999,0.0,,,,,,,,71.3,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
39,CMR,Africa,Cameroon,2020-04-19,1016.0,0.0,21.0,0.0,38.273,0.0,0.7909999999999999,0.0,,,,,,,,71.3,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,,7.2,,,2.735,1.3,59.29
