,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CYM,North America,Cayman Islands,2020-03-20,1.0,1.0,,0.0,15.216,15.216,,0.0,,,,,,,,47.22,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
1,CYM,North America,Cayman Islands,2020-03-21,3.0,2.0,1.0,1.0,45.648,30.432,15.216,15.216,,,,,,,,47.22,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
2,CYM,North America,Cayman Islands,2020-03-22,3.0,0.0,1.0,0.0,45.648,0.0,15.216,0.0,,,,,,,,47.22,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
3,CYM,North America,Cayman Islands,2020-03-23,3.0,0.0,1.0,0.0,45.648,0.0,15.216,0.0,,,,,,,,54.63,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
4,CYM,North America,Cayman Islands,2020-03-24,3.0,0.0,1.0,0.0,45.648,0.0,15.216,0.0,,,,,,,,62.04,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
5,CYM,North America,Cayman Islands,2020-03-25,3.0,0.0,1.0,0.0,45.648,0.0,15.216,0.0,,,,,,,,76.85,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
6,CYM,North America,Cayman Islands,2020-03-26,3.0,0.0,1.0,0.0,45.648,0.0,15.216,0.0,,,,,,,,76.85,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
7,CYM,North America,Cayman Islands,2020-03-27,6.0,3.0,1.0,0.0,91.296,45.648,15.216,0.0,,,,,,,,76.85,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
8,CYM,North America,Cayman Islands,2020-03-28,8.0,2.0,1.0,0.0,121.729,30.432,15.216,0.0,,,,,,,,90.74,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
9,CYM,North America,Cayman Islands,2020-03-29,8.0,0.0,1.0,0.0,121.729,0.0,15.216,0.0,,,,,,,,90.74,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
