,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CAF,Africa,Central African Republic,2020-03-16,1.0,1.0,,0.0,0.207,0.207,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
1,CAF,Africa,Central African Republic,2020-03-17,1.0,0.0,,0.0,0.207,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
2,CAF,Africa,Central African Republic,2020-03-18,1.0,0.0,,0.0,0.207,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
3,CAF,Africa,Central African Republic,2020-03-19,1.0,0.0,,0.0,0.207,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
4,CAF,Africa,Central African Republic,2020-03-20,1.0,0.0,,0.0,0.207,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
5,CAF,Africa,Central African Republic,2020-03-21,1.0,0.0,,0.0,0.207,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
6,CAF,Africa,Central African Republic,2020-03-22,3.0,2.0,,0.0,0.621,0.414,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
7,CAF,Africa,Central African Republic,2020-03-23,4.0,1.0,,0.0,0.828,0.207,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
8,CAF,Africa,Central African Republic,2020-03-24,4.0,0.0,,0.0,0.828,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
9,CAF,Africa,Central African Republic,2020-03-25,4.0,0.0,,0.0,0.828,0.0,,0.0,,,,,,,,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,,6.1,,,16.602999999999998,1.0,53.28
