,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,COL,South America,Colombia,2020-03-05,,,,,,,,,636.0,,0.012,,,,samples tested,12.04,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
1,COL,South America,Colombia,2020-03-06,,,,,,,,,739.0,103.0,0.015,0.002,,,samples tested,12.04,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
2,COL,South America,Colombia,2020-03-07,1.0,1.0,,0.0,0.02,0.02,,0.0,810.0,71.0,0.016,0.001,,,samples tested,12.04,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
3,COL,South America,Colombia,2020-03-08,,,,,,,,,813.0,3.0,0.016,0.0,,,samples tested,12.04,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
4,COL,South America,Colombia,2020-03-09,,,,,,,,,851.0,38.0,0.017,0.001,,,samples tested,14.81,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
5,COL,South America,Colombia,2020-03-10,3.0,2.0,,0.0,0.059000000000000004,0.039,,0.0,927.0,76.0,0.018000000000000002,0.001,,,samples tested,14.81,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
6,COL,South America,Colombia,2020-03-11,,,,,,,,,1133.0,206.0,0.022000000000000002,0.004,,,samples tested,14.81,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
7,COL,South America,Colombia,2020-03-12,9.0,6.0,,0.0,0.177,0.11800000000000001,,0.0,1393.0,260.0,0.027000000000000003,0.005,108.0,0.002,samples tested,34.26,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
8,COL,South America,Colombia,2020-03-13,,,,,,,,,1754.0,361.0,0.034,0.006999999999999999,145.0,0.003,samples tested,34.26,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
9,COL,South America,Colombia,2020-03-14,16.0,7.0,,0.0,0.314,0.138,,0.0,2343.0,589.0,0.046,0.012,219.0,0.004,samples tested,34.26,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,,7.44,4.7,13.5,65.38600000000001,1.71,77.29
