,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CRI,North America,Costa Rica,2020-03-07,1.0,1.0,,0.0,0.196,0.196,,0.0,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
1,CRI,North America,Costa Rica,2020-03-09,5.0,4.0,,0.0,0.982,0.785,,0.0,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
2,CRI,North America,Costa Rica,2020-03-10,9.0,4.0,,0.0,1.767,0.785,,0.0,,,,,,,,29.63,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
3,CRI,North America,Costa Rica,2020-03-11,13.0,4.0,,0.0,2.552,0.785,,0.0,68.0,68.0,0.013000000000000001,0.013000000000000001,,,people tested (incl. non-PCR),29.63,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
4,CRI,North America,Costa Rica,2020-03-12,22.0,9.0,,0.0,4.319,1.767,,0.0,157.0,89.0,0.031,0.017,,,people tested (incl. non-PCR),37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
5,CRI,North America,Costa Rica,2020-03-13,23.0,1.0,,0.0,4.515,0.196,,0.0,243.0,86.0,0.048,0.017,,,people tested (incl. non-PCR),37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
6,CRI,North America,Costa Rica,2020-03-14,26.0,3.0,,0.0,5.104,0.589,,0.0,370.0,127.0,0.073,0.025,,,people tested (incl. non-PCR),37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
7,CRI,North America,Costa Rica,2020-03-15,27.0,1.0,,0.0,5.3,0.196,,0.0,485.0,115.0,0.095,0.023,,,people tested (incl. non-PCR),37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
8,CRI,North America,Costa Rica,2020-03-16,35.0,8.0,,0.0,6.871,1.57,,0.0,656.0,171.0,0.129,0.034,,,people tested (incl. non-PCR),37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
9,CRI,North America,Costa Rica,2020-03-17,41.0,6.0,,0.0,8.049,1.178,,0.0,770.0,114.0,0.151,0.022000000000000002,,,people tested (incl. non-PCR),62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
10,CRI,North America,Costa Rica,2020-03-18,50.0,9.0,,0.0,9.815,1.767,,0.0,924.0,154.0,0.18100000000000002,0.03,122.0,0.024,people tested (incl. non-PCR),62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
11,CRI,North America,Costa Rica,2020-03-19,69.0,19.0,1.0,1.0,13.545,3.73,0.196,0.196,1040.0,116.0,0.204,0.023,126.0,0.025,people tested (incl. non-PCR),62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
12,CRI,North America,Costa Rica,2020-03-20,87.0,18.0,1.0,0.0,17.079,3.533,0.196,0.0,1159.0,119.0,0.228,0.023,131.0,0.026000000000000002,people tested (incl. non-PCR),62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
13,CRI,North America,Costa Rica,2020-03-21,113.0,26.0,2.0,1.0,22.182,5.104,0.39299999999999996,0.196,1307.0,148.0,0.257,0.028999999999999998,134.0,0.026000000000000002,people tested (incl. non-PCR),71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
14,CRI,North America,Costa Rica,2020-03-22,117.0,4.0,2.0,0.0,22.968000000000004,0.785,0.39299999999999996,0.0,1534.0,227.0,0.301,0.045,150.0,0.028999999999999998,people tested (incl. non-PCR),71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,,8.78,6.4,17.4,83.84100000000001,1.13,80.28
