,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CUB,North America,Cuba,2020-03-12,3.0,3.0,,0.0,0.265,0.265,,0.0,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
1,CUB,North America,Cuba,2020-03-14,4.0,1.0,,0.0,0.353,0.08800000000000001,,0.0,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
2,CUB,North America,Cuba,2020-03-15,4.0,0.0,,0.0,0.353,0.0,,0.0,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
3,CUB,North America,Cuba,2020-03-18,7.0,3.0,,0.0,0.618,0.265,,0.0,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
4,CUB,North America,Cuba,2020-03-19,11.0,4.0,1.0,1.0,0.971,0.353,0.08800000000000001,0.08800000000000001,,,,,,,,13.89,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
5,CUB,North America,Cuba,2020-03-20,16.0,5.0,1.0,0.0,1.413,0.441,0.08800000000000001,0.0,,,,,,,,30.56,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
6,CUB,North America,Cuba,2020-03-21,21.0,5.0,1.0,0.0,1.854,0.441,0.08800000000000001,0.0,,,,,,,,30.56,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
7,CUB,North America,Cuba,2020-03-22,25.0,4.0,1.0,0.0,2.207,0.353,0.08800000000000001,0.0,518.0,,0.046,,,,tests performed,30.56,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
8,CUB,North America,Cuba,2020-03-23,35.0,10.0,1.0,0.0,3.09,0.883,0.08800000000000001,0.0,625.0,107.0,0.055,0.009000000000000001,,,tests performed,41.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
9,CUB,North America,Cuba,2020-03-24,40.0,5.0,1.0,0.0,3.532,0.441,0.08800000000000001,0.0,738.0,113.0,0.065,0.01,,,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
10,CUB,North America,Cuba,2020-03-25,48.0,8.0,1.0,0.0,4.238,0.706,0.08800000000000001,0.0,893.0,155.0,0.079,0.013999999999999999,,,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
11,CUB,North America,Cuba,2020-03-26,57.0,9.0,1.0,0.0,5.032,0.795,0.08800000000000001,0.0,1039.0,146.0,0.092,0.013000000000000001,,,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
12,CUB,North America,Cuba,2020-03-27,67.0,10.0,2.0,1.0,5.915,0.883,0.177,0.08800000000000001,1368.0,329.0,0.121,0.028999999999999998,,,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
13,CUB,North America,Cuba,2020-03-28,80.0,13.0,2.0,0.0,7.063,1.148,0.177,0.0,1665.0,297.0,0.147,0.026000000000000002,,,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
14,CUB,North America,Cuba,2020-03-29,119.0,39.0,3.0,1.0,10.505999999999998,3.443,0.265,0.08800000000000001,2007.0,342.0,0.177,0.03,213.0,0.019,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
15,CUB,North America,Cuba,2020-03-30,139.0,20.0,3.0,0.0,12.272,1.766,0.265,0.0,2322.0,315.0,0.205,0.027999999999999997,242.0,0.021,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
16,CUB,North America,Cuba,2020-03-31,170.0,31.0,4.0,1.0,15.009,2.737,0.353,0.08800000000000001,2766.0,444.0,0.244,0.039,290.0,0.026000000000000002,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
17,CUB,North America,Cuba,2020-04-01,186.0,16.0,6.0,2.0,16.421,1.413,0.53,0.177,3342.0,576.0,0.295,0.051,350.0,0.031,tests performed,66.67,11326616.0,110.40799999999999,43.1,14.738,9.719,,,,8.27,17.1,53.3,85.198,5.2,78.8
