,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CYP,Europe,Cyprus,2020-03-10,2.0,2.0,,0.0,2.283,2.283,,0.0,,,,,,,,22.22,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
1,CYP,Europe,Cyprus,2020-03-12,6.0,4.0,,0.0,6.85,4.567,,0.0,,,,,,,,22.22,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
2,CYP,Europe,Cyprus,2020-03-14,14.0,8.0,,0.0,15.984000000000002,9.133,,0.0,,,,,,,,38.89,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
3,CYP,Europe,Cyprus,2020-03-15,21.0,7.0,,0.0,23.975,7.992000000000001,,0.0,,,,,,,,44.44,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
4,CYP,Europe,Cyprus,2020-03-16,30.0,9.0,,0.0,34.251,10.275,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
5,CYP,Europe,Cyprus,2020-03-17,40.0,10.0,,0.0,45.667,11.417,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
6,CYP,Europe,Cyprus,2020-03-18,40.0,0.0,,0.0,45.667,0.0,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
7,CYP,Europe,Cyprus,2020-03-19,58.0,18.0,,0.0,66.218,20.55,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
8,CYP,Europe,Cyprus,2020-03-20,58.0,0.0,,0.0,66.218,0.0,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
9,CYP,Europe,Cyprus,2020-03-21,67.0,9.0,,0.0,76.493,10.275,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
10,CYP,Europe,Cyprus,2020-03-22,84.0,17.0,,0.0,95.90100000000001,19.409000000000002,,0.0,,,,,,,,51.85,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
11,CYP,Europe,Cyprus,2020-03-23,95.0,11.0,,0.0,108.46,12.559000000000001,,0.0,,,,,,,,62.96,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
12,CYP,Europe,Cyprus,2020-03-24,116.0,21.0,,0.0,132.435,23.975,,0.0,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
13,CYP,Europe,Cyprus,2020-03-25,124.0,8.0,3.0,3.0,141.569,9.133,3.425,3.425,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
14,CYP,Europe,Cyprus,2020-03-26,132.0,8.0,3.0,0.0,150.702,9.133,3.425,0.0,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
15,CYP,Europe,Cyprus,2020-03-27,146.0,14.0,3.0,0.0,166.68599999999998,15.984000000000002,3.425,0.0,,,,,,,,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
16,CYP,Europe,Cyprus,2020-03-28,162.0,16.0,5.0,2.0,184.953,18.267,5.707999999999999,2.283,5917.0,,6.755,,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
17,CYP,Europe,Cyprus,2020-03-29,179.0,17.0,5.0,0.0,204.361,19.409000000000002,5.707999999999999,0.0,6447.0,530.0,7.36,0.605,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
18,CYP,Europe,Cyprus,2020-03-30,214.0,35.0,6.0,1.0,244.32,39.959,6.85,1.1420000000000001,6847.0,400.0,7.817,0.457,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
19,CYP,Europe,Cyprus,2020-03-31,230.0,16.0,7.0,1.0,262.587,18.267,7.992000000000001,1.1420000000000001,7397.0,550.0,8.445,0.628,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
20,CYP,Europe,Cyprus,2020-04-01,262.0,32.0,8.0,1.0,299.121,36.534,9.133,1.1420000000000001,8176.0,779.0,9.334,0.889,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
21,CYP,Europe,Cyprus,2020-04-02,320.0,58.0,9.0,1.0,365.339,66.218,10.275,1.1420000000000001,8779.0,603.0,10.023,0.688,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
22,CYP,Europe,Cyprus,2020-04-03,356.0,36.0,9.0,0.0,406.44,41.101000000000006,10.275,0.0,9447.0,668.0,10.785,0.763,,,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
23,CYP,Europe,Cyprus,2020-04-04,396.0,40.0,9.0,0.0,452.10699999999997,45.667,10.275,0.0,10145.0,698.0,11.582,0.797,604.0,0.69,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
24,CYP,Europe,Cyprus,2020-04-05,426.0,30.0,9.0,0.0,486.35699999999997,34.251,10.275,0.0,10937.0,792.0,12.487,0.904,641.0,0.732,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
25,CYP,Europe,Cyprus,2020-04-06,446.0,20.0,9.0,0.0,509.191,22.834,10.275,0.0,11655.0,718.0,13.306,0.82,687.0,0.784,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
26,CYP,Europe,Cyprus,2020-04-07,465.0,19.0,9.0,0.0,530.883,21.691999999999997,10.275,0.0,13008.0,1353.0,14.850999999999999,1.545,802.0,0.9159999999999999,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
27,CYP,Europe,Cyprus,2020-04-08,494.0,29.0,9.0,0.0,563.992,33.109,10.275,0.0,14264.0,1256.0,16.285,1.4340000000000002,870.0,0.993,tests performed,92.59,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,,9.24,19.6,52.7,,3.4,80.98
