,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,CIV,Africa,Cote d'Ivoire,2020-03-12,1.0,1.0,,0.0,0.038,0.038,,0.0,,,,,,,,11.11,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
1,CIV,Africa,Cote d'Ivoire,2020-03-15,4.0,3.0,,0.0,0.152,0.114,,0.0,,,,,,,,11.11,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
2,CIV,Africa,Cote d'Ivoire,2020-03-16,4.0,0.0,,0.0,0.152,0.0,,0.0,,,,,,,,30.56,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
3,CIV,Africa,Cote d'Ivoire,2020-03-17,5.0,1.0,,0.0,0.19,0.038,,0.0,,,,,,,,30.56,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
4,CIV,Africa,Cote d'Ivoire,2020-03-18,5.0,0.0,,0.0,0.19,0.0,,0.0,,,,,,,,30.56,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
5,CIV,Africa,Cote d'Ivoire,2020-03-19,6.0,1.0,,0.0,0.22699999999999998,0.038,,0.0,,,,,,,,57.41,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
6,CIV,Africa,Cote d'Ivoire,2020-03-20,9.0,3.0,,0.0,0.341,0.114,,0.0,,,,,,,,57.41,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
7,CIV,Africa,Cote d'Ivoire,2020-03-21,14.0,5.0,,0.0,0.531,0.19,,0.0,,,,,,,,57.41,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
8,CIV,Africa,Cote d'Ivoire,2020-03-22,17.0,3.0,,0.0,0.644,0.114,,0.0,,,,,,,,60.19,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
9,CIV,Africa,Cote d'Ivoire,2020-03-23,25.0,8.0,,0.0,0.948,0.303,,0.0,,,,,,,,63.89,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,,2.42,,,19.351,,57.78
