,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,DNK,Europe,Denmark,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
1,DNK,Europe,Denmark,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
2,DNK,Europe,Denmark,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
3,DNK,Europe,Denmark,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
4,DNK,Europe,Denmark,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
5,DNK,Europe,Denmark,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
6,DNK,Europe,Denmark,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
7,DNK,Europe,Denmark,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
8,DNK,Europe,Denmark,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
9,DNK,Europe,Denmark,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
10,DNK,Europe,Denmark,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
11,DNK,Europe,Denmark,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
12,DNK,Europe,Denmark,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
13,DNK,Europe,Denmark,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
14,DNK,Europe,Denmark,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
15,DNK,Europe,Denmark,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
16,DNK,Europe,Denmark,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
17,DNK,Europe,Denmark,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
18,DNK,Europe,Denmark,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
19,DNK,Europe,Denmark,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,,6.41,19.3,18.8,,2.5,80.9
