,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,DOM,North America,Dominican Republic,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
1,DOM,North America,Dominican Republic,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
2,DOM,North America,Dominican Republic,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
3,DOM,North America,Dominican Republic,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
4,DOM,North America,Dominican Republic,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
5,DOM,North America,Dominican Republic,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
6,DOM,North America,Dominican Republic,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
7,DOM,North America,Dominican Republic,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
8,DOM,North America,Dominican Republic,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
9,DOM,North America,Dominican Republic,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
10,DOM,North America,Dominican Republic,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
11,DOM,North America,Dominican Republic,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
12,DOM,North America,Dominican Republic,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
13,DOM,North America,Dominican Republic,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
14,DOM,North America,Dominican Republic,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
15,DOM,North America,Dominican Republic,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
16,DOM,North America,Dominican Republic,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
17,DOM,North America,Dominican Republic,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
18,DOM,North America,Dominican Republic,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
19,DOM,North America,Dominican Republic,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
20,DOM,North America,Dominican Republic,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
21,DOM,North America,Dominican Republic,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
22,DOM,North America,Dominican Republic,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
23,DOM,North America,Dominican Republic,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
24,DOM,North America,Dominican Republic,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
25,DOM,North America,Dominican Republic,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
26,DOM,North America,Dominican Republic,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
27,DOM,North America,Dominican Republic,2020-01-27,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
28,DOM,North America,Dominican Republic,2020-01-28,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
29,DOM,North America,Dominican Republic,2020-01-29,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
30,DOM,North America,Dominican Republic,2020-01-30,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
31,DOM,North America,Dominican Republic,2020-01-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
32,DOM,North America,Dominican Republic,2020-02-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
33,DOM,North America,Dominican Republic,2020-02-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
34,DOM,North America,Dominican Republic,2020-02-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
35,DOM,North America,Dominican Republic,2020-02-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
36,DOM,North America,Dominican Republic,2020-02-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
37,DOM,North America,Dominican Republic,2020-02-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
38,DOM,North America,Dominican Republic,2020-02-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
39,DOM,North America,Dominican Republic,2020-02-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
40,DOM,North America,Dominican Republic,2020-02-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,,8.2,8.5,19.1,55.181999999999995,1.6,74.08
