,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,SLV,North America,El Salvador,2020-03-19,1.0,1.0,,0.0,0.154,0.154,,0.0,,,,,,,,65.74,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
1,SLV,North America,El Salvador,2020-03-20,1.0,0.0,,0.0,0.154,0.0,,0.0,,,,,,,,65.74,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
2,SLV,North America,El Salvador,2020-03-21,3.0,2.0,,0.0,0.46299999999999997,0.308,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
3,SLV,North America,El Salvador,2020-03-22,3.0,0.0,,0.0,0.46299999999999997,0.0,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
4,SLV,North America,El Salvador,2020-03-23,3.0,0.0,,0.0,0.46299999999999997,0.0,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
5,SLV,North America,El Salvador,2020-03-24,5.0,2.0,,0.0,0.7709999999999999,0.308,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
6,SLV,North America,El Salvador,2020-03-25,9.0,4.0,,0.0,1.3880000000000001,0.617,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
7,SLV,North America,El Salvador,2020-03-26,13.0,4.0,,0.0,2.004,0.617,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
8,SLV,North America,El Salvador,2020-03-27,13.0,0.0,,0.0,2.004,0.0,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
9,SLV,North America,El Salvador,2020-03-28,13.0,0.0,,0.0,2.004,0.0,,0.0,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,,8.87,2.5,18.8,90.65,1.3,73.32
