,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,EST,Europe,Estonia,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
1,EST,Europe,Estonia,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
2,EST,Europe,Estonia,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
3,EST,Europe,Estonia,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
4,EST,Europe,Estonia,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
5,EST,Europe,Estonia,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
6,EST,Europe,Estonia,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
7,EST,Europe,Estonia,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
8,EST,Europe,Estonia,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
9,EST,Europe,Estonia,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
10,EST,Europe,Estonia,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
11,EST,Europe,Estonia,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
12,EST,Europe,Estonia,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
13,EST,Europe,Estonia,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
14,EST,Europe,Estonia,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
15,EST,Europe,Estonia,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
16,EST,Europe,Estonia,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
17,EST,Europe,Estonia,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
18,EST,Europe,Estonia,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
19,EST,Europe,Estonia,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
20,EST,Europe,Estonia,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
21,EST,Europe,Estonia,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
22,EST,Europe,Estonia,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
23,EST,Europe,Estonia,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
24,EST,Europe,Estonia,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
25,EST,Europe,Estonia,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
26,EST,Europe,Estonia,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,,4.02,24.5,39.3,,4.69,78.74
