,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ETH,Africa,Ethiopia,2020-03-13,,,,,,,,,1.0,,0.0,,,,tests performed,2.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
1,ETH,Africa,Ethiopia,2020-03-14,1.0,1.0,,0.0,0.009000000000000001,0.009000000000000001,,0.0,,,,,,,tests performed,2.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
2,ETH,Africa,Ethiopia,2020-03-15,1.0,0.0,,0.0,0.009000000000000001,0.0,,0.0,118.0,,0.001,,,,tests performed,2.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
3,ETH,Africa,Ethiopia,2020-03-16,4.0,3.0,,0.0,0.035,0.026000000000000002,,0.0,,,,,,,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
4,ETH,Africa,Ethiopia,2020-03-17,5.0,1.0,,0.0,0.043,0.009000000000000001,,0.0,119.0,,0.001,,,,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
5,ETH,Africa,Ethiopia,2020-03-18,5.0,0.0,,0.0,0.043,0.0,,0.0,,,,,,,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
6,ETH,Africa,Ethiopia,2020-03-19,6.0,1.0,,0.0,0.052000000000000005,0.009000000000000001,,0.0,342.0,,0.003,,,,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
7,ETH,Africa,Ethiopia,2020-03-20,7.0,1.0,,0.0,0.061,0.009000000000000001,,0.0,,,,,51.0,0.0,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
8,ETH,Africa,Ethiopia,2020-03-21,9.0,2.0,,0.0,0.078,0.017,,0.0,,,,,45.0,0.0,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
9,ETH,Africa,Ethiopia,2020-03-22,9.0,0.0,,0.0,0.078,0.0,,0.0,392.0,,0.003,,39.0,0.0,tests performed,35.19,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,,7.47,0.4,8.5,7.96,0.3,66.6
