,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,FRO,Europe,Faeroe Islands,2020-03-06,1.0,1.0,,0.0,20.465,20.465,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
1,FRO,Europe,Faeroe Islands,2020-03-07,2.0,1.0,,0.0,40.929,20.465,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
2,FRO,Europe,Faeroe Islands,2020-03-08,3.0,1.0,,0.0,61.394,20.465,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
3,FRO,Europe,Faeroe Islands,2020-03-09,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
4,FRO,Europe,Faeroe Islands,2020-03-10,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
5,FRO,Europe,Faeroe Islands,2020-03-11,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
6,FRO,Europe,Faeroe Islands,2020-03-12,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
7,FRO,Europe,Faeroe Islands,2020-03-13,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
8,FRO,Europe,Faeroe Islands,2020-03-14,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
9,FRO,Europe,Faeroe Islands,2020-03-15,3.0,0.0,,0.0,61.394,0.0,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
10,FRO,Europe,Faeroe Islands,2020-03-16,9.0,6.0,,0.0,184.18099999999998,122.787,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
11,FRO,Europe,Faeroe Islands,2020-03-17,11.0,2.0,,0.0,225.11,40.929,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
12,FRO,Europe,Faeroe Islands,2020-03-18,18.0,7.0,,0.0,368.36199999999997,143.252,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
13,FRO,Europe,Faeroe Islands,2020-03-19,47.0,29.0,,0.0,961.834,593.472,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
14,FRO,Europe,Faeroe Islands,2020-03-20,72.0,25.0,,0.0,1473.4470000000001,511.61400000000003,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
15,FRO,Europe,Faeroe Islands,2020-03-21,80.0,8.0,,0.0,1637.164,163.716,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
16,FRO,Europe,Faeroe Islands,2020-03-22,92.0,12.0,,0.0,1882.7379999999998,245.575,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
17,FRO,Europe,Faeroe Islands,2020-03-23,115.0,23.0,,0.0,2353.423,470.685,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
18,FRO,Europe,Faeroe Islands,2020-03-24,118.0,3.0,,0.0,2414.8160000000003,61.394,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
19,FRO,Europe,Faeroe Islands,2020-03-25,122.0,4.0,,0.0,2496.675,81.858,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
20,FRO,Europe,Faeroe Islands,2020-03-26,132.0,10.0,,0.0,2701.32,204.645,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
21,FRO,Europe,Faeroe Islands,2020-03-27,140.0,8.0,,0.0,2865.0359999999996,163.716,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
22,FRO,Europe,Faeroe Islands,2020-03-28,144.0,4.0,,0.0,2946.895,81.858,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
23,FRO,Europe,Faeroe Islands,2020-03-29,155.0,11.0,,0.0,3172.005,225.11,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
24,FRO,Europe,Faeroe Islands,2020-03-30,159.0,4.0,,0.0,3253.863,81.858,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
25,FRO,Europe,Faeroe Islands,2020-03-31,168.0,9.0,,0.0,3438.0440000000003,184.18099999999998,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
26,FRO,Europe,Faeroe Islands,2020-04-01,169.0,1.0,,0.0,3458.508,20.465,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
27,FRO,Europe,Faeroe Islands,2020-04-02,173.0,4.0,,0.0,3540.366,81.858,,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67
