,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,FJI,Oceania,Fiji,2020-01-30,,,,,,,,,3.0,,0.003,,,,tests performed,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
1,FJI,Oceania,Fiji,2020-01-31,,,,,,,,,,,,,,,tests performed,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
2,FJI,Oceania,Fiji,2020-02-01,,,,,,,,,,,,,,,tests performed,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
3,FJI,Oceania,Fiji,2020-02-02,,,,,,,,,,,,,,,tests performed,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
4,FJI,Oceania,Fiji,2020-02-03,,,,,,,,,,,,,,,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
5,FJI,Oceania,Fiji,2020-02-04,,,,,,,,,,,,,,,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
6,FJI,Oceania,Fiji,2020-02-05,,,,,,,,,,,,,,,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
7,FJI,Oceania,Fiji,2020-02-06,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
8,FJI,Oceania,Fiji,2020-02-07,,,,,,,,,5.0,,0.006,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
9,FJI,Oceania,Fiji,2020-02-08,,,,,,,,,6.0,1.0,0.006999999999999999,0.001,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
10,FJI,Oceania,Fiji,2020-02-09,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
11,FJI,Oceania,Fiji,2020-02-10,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
12,FJI,Oceania,Fiji,2020-02-11,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
13,FJI,Oceania,Fiji,2020-02-12,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
14,FJI,Oceania,Fiji,2020-02-13,,,,,,,,,8.0,,0.009000000000000001,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
15,FJI,Oceania,Fiji,2020-02-14,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
16,FJI,Oceania,Fiji,2020-02-15,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
17,FJI,Oceania,Fiji,2020-02-16,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
18,FJI,Oceania,Fiji,2020-02-17,,,,,,,,,,,,,0.0,0.0,tests performed,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,,14.49,10.2,34.8,,2.3,67.44
