,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,FIN,Europe,Finland,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
1,FIN,Europe,Finland,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
2,FIN,Europe,Finland,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
3,FIN,Europe,Finland,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
4,FIN,Europe,Finland,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
5,FIN,Europe,Finland,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
6,FIN,Europe,Finland,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
7,FIN,Europe,Finland,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
8,FIN,Europe,Finland,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
9,FIN,Europe,Finland,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
10,FIN,Europe,Finland,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
11,FIN,Europe,Finland,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
12,FIN,Europe,Finland,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
13,FIN,Europe,Finland,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
14,FIN,Europe,Finland,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
15,FIN,Europe,Finland,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
16,FIN,Europe,Finland,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
17,FIN,Europe,Finland,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
18,FIN,Europe,Finland,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
19,FIN,Europe,Finland,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
20,FIN,Europe,Finland,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
21,FIN,Europe,Finland,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
22,FIN,Europe,Finland,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,,5.76,18.3,22.6,,3.28,81.91
