,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,FRA,Europe,France,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
1,FRA,Europe,France,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
2,FRA,Europe,France,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
3,FRA,Europe,France,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
4,FRA,Europe,France,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
5,FRA,Europe,France,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
6,FRA,Europe,France,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
7,FRA,Europe,France,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
8,FRA,Europe,France,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
9,FRA,Europe,France,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,,4.77,30.1,35.6,,5.98,82.66
