,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,PYF,Oceania,French Polynesia,2020-03-19,3.0,3.0,,0.0,10.68,10.68,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
1,PYF,Oceania,French Polynesia,2020-03-20,3.0,0.0,,0.0,10.68,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
2,PYF,Oceania,French Polynesia,2020-03-21,15.0,12.0,,0.0,53.398999999999994,42.718999999999994,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
3,PYF,Oceania,French Polynesia,2020-03-22,17.0,2.0,,0.0,60.519,7.12,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
4,PYF,Oceania,French Polynesia,2020-03-23,18.0,1.0,,0.0,64.079,3.56,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
5,PYF,Oceania,French Polynesia,2020-03-24,23.0,5.0,,0.0,81.87899999999999,17.8,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
6,PYF,Oceania,French Polynesia,2020-03-25,25.0,2.0,,0.0,88.99799999999999,7.12,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
7,PYF,Oceania,French Polynesia,2020-03-26,25.0,0.0,,0.0,88.99799999999999,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
8,PYF,Oceania,French Polynesia,2020-03-27,30.0,5.0,,0.0,106.79799999999999,17.8,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
9,PYF,Oceania,French Polynesia,2020-03-28,30.0,0.0,,0.0,106.79799999999999,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
10,PYF,Oceania,French Polynesia,2020-03-29,34.0,4.0,,0.0,121.038,14.24,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
11,PYF,Oceania,French Polynesia,2020-03-30,35.0,1.0,,0.0,124.598,3.56,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
12,PYF,Oceania,French Polynesia,2020-03-31,36.0,1.0,,0.0,128.158,3.56,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
13,PYF,Oceania,French Polynesia,2020-04-01,37.0,1.0,,0.0,131.718,3.56,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
14,PYF,Oceania,French Polynesia,2020-04-02,37.0,0.0,,0.0,131.718,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
15,PYF,Oceania,French Polynesia,2020-04-03,37.0,0.0,,0.0,131.718,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
16,PYF,Oceania,French Polynesia,2020-04-04,39.0,2.0,,0.0,138.83700000000002,7.12,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
17,PYF,Oceania,French Polynesia,2020-04-05,40.0,1.0,,0.0,142.39700000000002,3.56,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
18,PYF,Oceania,French Polynesia,2020-04-06,41.0,1.0,,0.0,145.957,3.56,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
19,PYF,Oceania,French Polynesia,2020-04-07,41.0,0.0,,0.0,145.957,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
20,PYF,Oceania,French Polynesia,2020-04-08,47.0,6.0,,0.0,167.317,21.36,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
21,PYF,Oceania,French Polynesia,2020-04-09,51.0,4.0,,0.0,181.55700000000002,14.24,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
22,PYF,Oceania,French Polynesia,2020-04-10,51.0,0.0,,0.0,181.55700000000002,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
23,PYF,Oceania,French Polynesia,2020-04-11,51.0,0.0,,0.0,181.55700000000002,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
24,PYF,Oceania,French Polynesia,2020-04-12,51.0,0.0,,0.0,181.55700000000002,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
25,PYF,Oceania,French Polynesia,2020-04-13,53.0,2.0,,0.0,188.67700000000002,7.12,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
26,PYF,Oceania,French Polynesia,2020-04-14,55.0,2.0,,0.0,195.796,7.12,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
27,PYF,Oceania,French Polynesia,2020-04-15,55.0,0.0,,0.0,195.796,0.0,,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
