,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GAB,Africa,Gabon,2020-03-13,1.0,1.0,,0.0,0.449,0.449,,0.0,,,,,,,,33.33,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
1,GAB,Africa,Gabon,2020-03-15,1.0,0.0,,0.0,0.449,0.0,,0.0,,,,,,,,33.33,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
2,GAB,Africa,Gabon,2020-03-16,1.0,0.0,,0.0,0.449,0.0,,0.0,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
3,GAB,Africa,Gabon,2020-03-17,1.0,0.0,,0.0,0.449,0.0,,0.0,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
4,GAB,Africa,Gabon,2020-03-18,1.0,0.0,,0.0,0.449,0.0,,0.0,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
5,GAB,Africa,Gabon,2020-03-19,3.0,2.0,,0.0,1.348,0.899,,0.0,,,,,,,,44.44,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
6,GAB,Africa,Gabon,2020-03-20,3.0,0.0,,0.0,1.348,0.0,,0.0,,,,,,,,62.96,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
7,GAB,Africa,Gabon,2020-03-21,3.0,0.0,1.0,1.0,1.348,0.0,0.449,0.449,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
8,GAB,Africa,Gabon,2020-03-22,3.0,0.0,1.0,0.0,1.348,0.0,0.449,0.0,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
9,GAB,Africa,Gabon,2020-03-23,6.0,3.0,1.0,0.0,2.696,1.348,0.449,0.0,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,,7.2,,,,6.3,66.47
