,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GHA,Africa,Ghana,2020-03-13,2.0,2.0,,0.0,0.064,0.064,,0.0,,,,,,,,8.33,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
1,GHA,Africa,Ghana,2020-03-15,2.0,0.0,,0.0,0.064,0.0,,0.0,,,,,,,,13.89,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
2,GHA,Africa,Ghana,2020-03-16,2.0,0.0,,0.0,0.064,0.0,,0.0,,,,,,,,44.44,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
3,GHA,Africa,Ghana,2020-03-17,6.0,4.0,,0.0,0.193,0.129,,0.0,143.0,,0.005,,,,samples tested,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
4,GHA,Africa,Ghana,2020-03-18,6.0,0.0,,0.0,0.193,0.0,,0.0,,,,,,,samples tested,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
5,GHA,Africa,Ghana,2020-03-19,7.0,1.0,,0.0,0.225,0.032,,0.0,,,,,,,samples tested,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
6,GHA,Africa,Ghana,2020-03-20,11.0,4.0,,0.0,0.354,0.129,,0.0,,,,,,,samples tested,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
7,GHA,Africa,Ghana,2020-03-21,16.0,5.0,,0.0,0.515,0.161,,0.0,,,,,,,samples tested,50.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
8,GHA,Africa,Ghana,2020-03-22,21.0,5.0,1.0,1.0,0.6759999999999999,0.161,0.032,0.032,315.0,,0.01,,,,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
9,GHA,Africa,Ghana,2020-03-23,24.0,3.0,1.0,0.0,0.772,0.09699999999999999,0.032,0.0,521.0,206.0,0.017,0.006999999999999999,,,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
10,GHA,Africa,Ghana,2020-03-24,27.0,3.0,2.0,1.0,0.8690000000000001,0.09699999999999999,0.064,0.032,,,,,111.0,0.004,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
11,GHA,Africa,Ghana,2020-03-25,53.0,26.0,2.0,0.0,1.706,0.8370000000000001,0.064,0.0,,,,,163.0,0.005,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
12,GHA,Africa,Ghana,2020-03-26,68.0,15.0,3.0,1.0,2.188,0.483,0.09699999999999999,0.032,,,,,215.0,0.006999999999999999,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
13,GHA,Africa,Ghana,2020-03-27,132.0,64.0,3.0,0.0,4.248,2.06,0.09699999999999999,0.0,,,,,268.0,0.009000000000000001,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
14,GHA,Africa,Ghana,2020-03-28,137.0,5.0,3.0,0.0,4.409,0.161,0.09699999999999999,0.0,2519.0,,0.081,,320.0,0.01,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
15,GHA,Africa,Ghana,2020-03-29,141.0,4.0,5.0,2.0,4.538,0.129,0.161,0.064,,,,,459.0,0.015,samples tested,52.78,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,,4.97,0.3,7.7,41.047,0.9,64.07
