,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GIB,Europe,Gibraltar,2020-03-20,10.0,10.0,,0.0,296.815,296.815,,0.0,,,,,,,,73.15,33691.0,3457.1,,,,,,,,,,,,79.93
1,GIB,Europe,Gibraltar,2020-03-21,10.0,0.0,,0.0,296.815,0.0,,0.0,,,,,,,,73.15,33691.0,3457.1,,,,,,,,,,,,79.93
2,GIB,Europe,Gibraltar,2020-03-22,10.0,0.0,,0.0,296.815,0.0,,0.0,,,,,,,,73.15,33691.0,3457.1,,,,,,,,,,,,79.93
3,GIB,Europe,Gibraltar,2020-03-23,15.0,5.0,,0.0,445.223,148.408,,0.0,,,,,,,,73.15,33691.0,3457.1,,,,,,,,,,,,79.93
4,GIB,Europe,Gibraltar,2020-03-24,15.0,0.0,,0.0,445.223,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
5,GIB,Europe,Gibraltar,2020-03-25,15.0,0.0,,0.0,445.223,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
6,GIB,Europe,Gibraltar,2020-03-26,26.0,11.0,,0.0,771.7189999999999,326.497,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
7,GIB,Europe,Gibraltar,2020-03-27,35.0,9.0,,0.0,1038.853,267.134,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
8,GIB,Europe,Gibraltar,2020-03-28,55.0,20.0,,0.0,1632.483,593.63,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
9,GIB,Europe,Gibraltar,2020-03-29,56.0,1.0,,0.0,1662.165,29.682,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
10,GIB,Europe,Gibraltar,2020-03-30,65.0,9.0,,0.0,1929.299,267.134,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
11,GIB,Europe,Gibraltar,2020-03-31,69.0,4.0,,0.0,2048.025,118.726,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
12,GIB,Europe,Gibraltar,2020-04-01,69.0,0.0,,0.0,2048.025,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
13,GIB,Europe,Gibraltar,2020-04-02,69.0,0.0,,0.0,2048.025,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
14,GIB,Europe,Gibraltar,2020-04-03,88.0,19.0,,0.0,2611.974,563.9490000000001,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
15,GIB,Europe,Gibraltar,2020-04-04,95.0,7.0,,0.0,2819.744,207.771,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
16,GIB,Europe,Gibraltar,2020-04-05,98.0,3.0,,0.0,2908.789,89.045,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
17,GIB,Europe,Gibraltar,2020-04-06,103.0,5.0,,0.0,3057.196,148.408,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
18,GIB,Europe,Gibraltar,2020-04-07,109.0,6.0,,0.0,3235.285,178.08900000000003,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
19,GIB,Europe,Gibraltar,2020-04-08,113.0,4.0,,0.0,3354.011,118.726,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
20,GIB,Europe,Gibraltar,2020-04-09,120.0,7.0,,0.0,3561.782,207.771,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
21,GIB,Europe,Gibraltar,2020-04-10,123.0,3.0,,0.0,3650.827,89.045,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
22,GIB,Europe,Gibraltar,2020-04-11,127.0,4.0,,0.0,3769.553,118.726,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
23,GIB,Europe,Gibraltar,2020-04-12,129.0,2.0,,0.0,3828.9159999999997,59.363,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
24,GIB,Europe,Gibraltar,2020-04-13,129.0,0.0,,0.0,3828.9159999999997,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
25,GIB,Europe,Gibraltar,2020-04-14,129.0,0.0,,0.0,3828.9159999999997,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
26,GIB,Europe,Gibraltar,2020-04-15,129.0,0.0,,0.0,3828.9159999999997,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
27,GIB,Europe,Gibraltar,2020-04-16,131.0,2.0,,0.0,3888.2790000000005,59.363,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
28,GIB,Europe,Gibraltar,2020-04-17,133.0,2.0,,0.0,3947.6420000000003,59.363,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
29,GIB,Europe,Gibraltar,2020-04-18,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
30,GIB,Europe,Gibraltar,2020-04-19,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
31,GIB,Europe,Gibraltar,2020-04-20,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
32,GIB,Europe,Gibraltar,2020-04-21,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
33,GIB,Europe,Gibraltar,2020-04-22,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
34,GIB,Europe,Gibraltar,2020-04-23,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
35,GIB,Europe,Gibraltar,2020-04-24,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
36,GIB,Europe,Gibraltar,2020-04-25,133.0,0.0,,0.0,3947.6420000000003,0.0,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
37,GIB,Europe,Gibraltar,2020-04-26,136.0,3.0,,0.0,4036.6859999999997,89.045,,0.0,,,,,,,,79.63,33691.0,3457.1,,,,,,,,,,,,79.93
