,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GUM,Oceania,Guam,2020-03-19,3.0,3.0,,0.0,17.774,17.774,,0.0,,,,,,,,55.56,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
1,GUM,Oceania,Guam,2020-03-20,12.0,9.0,,0.0,71.097,53.323,,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
2,GUM,Oceania,Guam,2020-03-21,14.0,2.0,,0.0,82.947,11.85,,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
3,GUM,Oceania,Guam,2020-03-22,15.0,1.0,1.0,1.0,88.87200000000001,5.925,5.925,5.925,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
4,GUM,Oceania,Guam,2020-03-23,27.0,12.0,1.0,0.0,159.969,71.097,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
5,GUM,Oceania,Guam,2020-03-24,29.0,2.0,1.0,0.0,171.81799999999998,11.85,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
6,GUM,Oceania,Guam,2020-03-25,32.0,3.0,1.0,0.0,189.593,17.774,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
7,GUM,Oceania,Guam,2020-03-26,37.0,5.0,1.0,0.0,219.21599999999998,29.624000000000002,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
8,GUM,Oceania,Guam,2020-03-27,49.0,12.0,1.0,0.0,290.314,71.097,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
9,GUM,Oceania,Guam,2020-03-28,51.0,2.0,1.0,0.0,302.163,11.85,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
10,GUM,Oceania,Guam,2020-03-29,55.0,4.0,1.0,0.0,325.862,23.699,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
11,GUM,Oceania,Guam,2020-03-30,56.0,1.0,1.0,0.0,331.787,5.925,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
12,GUM,Oceania,Guam,2020-03-31,60.0,4.0,1.0,0.0,355.486,23.699,5.925,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
13,GUM,Oceania,Guam,2020-04-01,69.0,9.0,3.0,2.0,408.809,53.323,17.774,11.85,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
14,GUM,Oceania,Guam,2020-04-02,77.0,8.0,3.0,0.0,456.207,47.398,17.774,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
15,GUM,Oceania,Guam,2020-04-03,82.0,5.0,3.0,0.0,485.83099999999996,29.624000000000002,17.774,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
16,GUM,Oceania,Guam,2020-04-04,87.0,5.0,4.0,1.0,515.455,29.624000000000002,23.699,5.925,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
17,GUM,Oceania,Guam,2020-04-05,93.0,6.0,4.0,0.0,551.003,35.549,23.699,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
18,GUM,Oceania,Guam,2020-04-06,110.0,17.0,4.0,0.0,651.724,100.721,23.699,0.0,,,,,,,,67.59,168783.0,304.128,31.4,9.551,5.492999999999999,,,,21.52,,,,,80.07
