,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GTM,North America,Guatemala,2020-02-17,,,,,,,,,1.0,1.0,0.0,0.0,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
1,GTM,North America,Guatemala,2020-02-18,,,,,,,,,,,,,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
2,GTM,North America,Guatemala,2020-02-19,,,,,,,,,,,,,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
3,GTM,North America,Guatemala,2020-02-20,,,,,,,,,,,,,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
4,GTM,North America,Guatemala,2020-02-21,,,,,,,,,,,,,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
5,GTM,North America,Guatemala,2020-02-22,,,,,,,,,,,,,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
6,GTM,North America,Guatemala,2020-02-23,,,,,,,,,,,,,,,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
7,GTM,North America,Guatemala,2020-02-24,,,,,,,,,,,,,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
8,GTM,North America,Guatemala,2020-02-25,,,,,,,,,,,,,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
9,GTM,North America,Guatemala,2020-02-26,,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
10,GTM,North America,Guatemala,2020-02-27,,,,,,,,,,,,,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
11,GTM,North America,Guatemala,2020-02-28,,,,,,,,,4.0,2.0,0.0,0.0,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
12,GTM,North America,Guatemala,2020-02-29,,,,,,,,,,,,,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
13,GTM,North America,Guatemala,2020-03-01,,,,,,,,,,,,,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
14,GTM,North America,Guatemala,2020-03-02,,,,,,,,,5.0,1.0,0.0,0.0,0.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
15,GTM,North America,Guatemala,2020-03-03,,,,,,,,,7.0,2.0,0.0,0.0,1.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
16,GTM,North America,Guatemala,2020-03-04,,,,,,,,,,,,,1.0,0.0,people tested (incl. non-PCR),11.11,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,,10.18,,,76.665,0.6,74.3
