,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,GNB,Africa,Guinea-Bissau,2020-03-27,2.0,2.0,,0.0,1.016,1.016,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
1,GNB,Africa,Guinea-Bissau,2020-03-28,2.0,0.0,,0.0,1.016,0.0,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
2,GNB,Africa,Guinea-Bissau,2020-03-29,2.0,0.0,,0.0,1.016,0.0,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
3,GNB,Africa,Guinea-Bissau,2020-03-30,2.0,0.0,,0.0,1.016,0.0,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
4,GNB,Africa,Guinea-Bissau,2020-03-31,2.0,0.0,,0.0,1.016,0.0,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
5,GNB,Africa,Guinea-Bissau,2020-04-01,8.0,6.0,,0.0,4.065,3.049,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
6,GNB,Africa,Guinea-Bissau,2020-04-02,9.0,1.0,,0.0,4.573,0.508,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
7,GNB,Africa,Guinea-Bissau,2020-04-03,9.0,0.0,,0.0,4.573,0.0,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
8,GNB,Africa,Guinea-Bissau,2020-04-04,15.0,6.0,,0.0,7.622000000000001,3.049,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
9,GNB,Africa,Guinea-Bissau,2020-04-05,18.0,3.0,,0.0,9.146,1.524,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
10,GNB,Africa,Guinea-Bissau,2020-04-06,18.0,0.0,,0.0,9.146,0.0,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
11,GNB,Africa,Guinea-Bissau,2020-04-07,33.0,15.0,,0.0,16.768,7.622000000000001,,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,,2.42,,,6.403,,58.32
