,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,VAT,Europe,Vatican,2020-03-07,1.0,1.0,,0.0,1236.094,1236.094,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
1,VAT,Europe,Vatican,2020-03-13,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12
2,VAT,Europe,Vatican,2020-03-14,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12
3,VAT,Europe,Vatican,2020-03-15,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12
4,VAT,Europe,Vatican,2020-03-16,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
5,VAT,Europe,Vatican,2020-03-17,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
6,VAT,Europe,Vatican,2020-03-18,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
7,VAT,Europe,Vatican,2020-03-19,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
8,VAT,Europe,Vatican,2020-03-20,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
9,VAT,Europe,Vatican,2020-03-21,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
10,VAT,Europe,Vatican,2020-03-22,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
11,VAT,Europe,Vatican,2020-03-23,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
12,VAT,Europe,Vatican,2020-03-24,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
13,VAT,Europe,Vatican,2020-03-25,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
14,VAT,Europe,Vatican,2020-03-26,1.0,0.0,,0.0,1236.094,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
15,VAT,Europe,Vatican,2020-03-27,5.0,4.0,,0.0,6180.47,4944.376,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
16,VAT,Europe,Vatican,2020-03-28,5.0,0.0,,0.0,6180.47,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
17,VAT,Europe,Vatican,2020-03-29,6.0,1.0,,0.0,7416.564,1236.094,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
18,VAT,Europe,Vatican,2020-03-30,6.0,0.0,,0.0,7416.564,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
19,VAT,Europe,Vatican,2020-03-31,6.0,0.0,,0.0,7416.564,0.0,,0.0,,,,,,,,,809.0,,,,,,,,,,,,,75.12
