,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,HND,North America,Honduras,2020-03-12,2.0,2.0,,0.0,0.20199999999999999,0.20199999999999999,,0.0,,,,,,,,11.11,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
1,HND,North America,Honduras,2020-03-14,3.0,1.0,,0.0,0.303,0.10099999999999999,,0.0,,,,,,,,33.33,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
2,HND,North America,Honduras,2020-03-16,6.0,3.0,,0.0,0.606,0.303,,0.0,,,,,,,,93.52,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
3,HND,North America,Honduras,2020-03-17,8.0,2.0,,0.0,0.8079999999999999,0.20199999999999999,,0.0,,,,,,,,93.52,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
4,HND,North America,Honduras,2020-03-18,9.0,1.0,,0.0,0.909,0.10099999999999999,,0.0,,,,,,,,93.52,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
5,HND,North America,Honduras,2020-03-19,12.0,3.0,,0.0,1.212,0.303,,0.0,,,,,,,,93.52,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
6,HND,North America,Honduras,2020-03-20,24.0,12.0,,0.0,2.423,1.212,,0.0,,,,,,,,97.22,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
7,HND,North America,Honduras,2020-03-21,24.0,0.0,,0.0,2.423,0.0,,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
8,HND,North America,Honduras,2020-03-22,26.0,2.0,,0.0,2.625,0.20199999999999999,,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
9,HND,North America,Honduras,2020-03-23,27.0,1.0,,0.0,2.7260000000000004,0.10099999999999999,,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
10,HND,North America,Honduras,2020-03-24,30.0,3.0,,0.0,3.029,0.303,,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
11,HND,North America,Honduras,2020-03-25,36.0,6.0,,0.0,3.635,0.606,,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
12,HND,North America,Honduras,2020-03-26,52.0,16.0,,0.0,5.25,1.615,,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
13,HND,North America,Honduras,2020-03-27,67.0,15.0,1.0,1.0,6.765,1.514,0.10099999999999999,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
14,HND,North America,Honduras,2020-03-28,95.0,28.0,1.0,0.0,9.591000000000001,2.827,0.10099999999999999,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
15,HND,North America,Honduras,2020-03-29,110.0,15.0,2.0,1.0,11.106,1.514,0.20199999999999999,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
16,HND,North America,Honduras,2020-03-30,139.0,29.0,3.0,1.0,14.034,2.928,0.303,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
17,HND,North America,Honduras,2020-03-31,141.0,2.0,7.0,4.0,14.235999999999999,0.20199999999999999,0.7070000000000001,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
18,HND,North America,Honduras,2020-04-01,172.0,31.0,10.0,3.0,17.366,3.13,1.01,0.303,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
19,HND,North America,Honduras,2020-04-02,219.0,47.0,14.0,4.0,22.111,4.745,1.413,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
20,HND,North America,Honduras,2020-04-03,222.0,3.0,15.0,1.0,22.414,0.303,1.514,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
21,HND,North America,Honduras,2020-04-04,264.0,42.0,15.0,0.0,26.654,4.24,1.514,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
22,HND,North America,Honduras,2020-04-05,268.0,4.0,22.0,7.0,27.058000000000003,0.40399999999999997,2.221,0.7070000000000001,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
23,HND,North America,Honduras,2020-04-06,298.0,30.0,22.0,0.0,30.087,3.029,2.221,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
24,HND,North America,Honduras,2020-04-07,305.0,7.0,22.0,0.0,30.794,0.7070000000000001,2.221,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
25,HND,North America,Honduras,2020-04-08,312.0,7.0,22.0,0.0,31.5,0.7070000000000001,2.221,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
26,HND,North America,Honduras,2020-04-09,343.0,31.0,23.0,1.0,34.63,3.13,2.322,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
27,HND,North America,Honduras,2020-04-10,382.0,39.0,23.0,0.0,38.568000000000005,3.938,2.322,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
28,HND,North America,Honduras,2020-04-11,392.0,10.0,24.0,1.0,39.578,1.01,2.423,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
29,HND,North America,Honduras,2020-04-12,393.0,1.0,25.0,1.0,39.679,0.10099999999999999,2.524,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
30,HND,North America,Honduras,2020-04-13,397.0,4.0,25.0,0.0,40.082,0.40399999999999997,2.524,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
31,HND,North America,Honduras,2020-04-14,407.0,10.0,26.0,1.0,41.092,1.01,2.625,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
32,HND,North America,Honduras,2020-04-15,419.0,12.0,31.0,5.0,42.303999999999995,1.212,3.13,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
33,HND,North America,Honduras,2020-04-16,426.0,7.0,35.0,4.0,43.01,0.7070000000000001,3.534,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
34,HND,North America,Honduras,2020-04-17,442.0,16.0,41.0,6.0,44.626000000000005,1.615,4.138999999999999,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
35,HND,North America,Honduras,2020-04-18,457.0,15.0,46.0,5.0,46.14,1.514,4.644,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
36,HND,North America,Honduras,2020-04-19,472.0,15.0,46.0,0.0,47.655,1.514,4.644,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
37,HND,North America,Honduras,2020-04-20,477.0,5.0,46.0,0.0,48.159,0.505,4.644,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
38,HND,North America,Honduras,2020-04-21,494.0,17.0,46.0,0.0,49.876000000000005,1.716,4.644,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
39,HND,North America,Honduras,2020-04-22,510.0,16.0,46.0,0.0,51.49100000000001,1.615,4.644,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
40,HND,North America,Honduras,2020-04-23,519.0,9.0,47.0,1.0,52.4,0.909,4.745,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
41,HND,North America,Honduras,2020-04-24,519.0,0.0,47.0,0.0,52.4,0.0,4.745,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
42,HND,North America,Honduras,2020-04-25,591.0,72.0,47.0,0.0,59.669,7.269,4.745,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
43,HND,North America,Honduras,2020-04-26,627.0,36.0,59.0,12.0,63.303999999999995,3.635,5.957000000000001,1.212,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
44,HND,North America,Honduras,2020-04-27,661.0,34.0,61.0,2.0,66.737,3.4330000000000003,6.159,0.20199999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
45,HND,North America,Honduras,2020-04-28,693.0,32.0,61.0,0.0,69.967,3.2310000000000003,6.159,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
46,HND,North America,Honduras,2020-04-29,738.0,45.0,66.0,5.0,74.51100000000001,4.543,6.664,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
47,HND,North America,Honduras,2020-04-30,771.0,33.0,71.0,5.0,77.843,3.332,7.167999999999999,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
48,HND,North America,Honduras,2020-05-01,804.0,33.0,75.0,4.0,81.17399999999999,3.332,7.572,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
49,HND,North America,Honduras,2020-05-02,899.0,95.0,75.0,0.0,90.766,9.591000000000001,7.572,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
50,HND,North America,Honduras,2020-05-03,1010.0,111.0,76.0,1.0,101.973,11.207,7.672999999999999,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
51,HND,North America,Honduras,2020-05-04,1055.0,45.0,82.0,6.0,106.516,4.543,8.279,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
52,HND,North America,Honduras,2020-05-05,1178.0,123.0,82.0,0.0,118.935,12.418,8.279,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
53,HND,North America,Honduras,2020-05-06,1270.0,92.0,93.0,11.0,128.22299999999998,9.289,9.39,1.111,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
54,HND,North America,Honduras,2020-05-07,1461.0,191.0,99.0,6.0,147.507,19.284000000000002,9.995,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
55,HND,North America,Honduras,2020-05-08,1685.0,224.0,105.0,6.0,170.123,22.616,10.600999999999999,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
56,HND,North America,Honduras,2020-05-09,1771.0,86.0,107.0,2.0,178.80599999999998,8.683,10.802999999999999,0.20199999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
57,HND,North America,Honduras,2020-05-10,1830.0,59.0,108.0,1.0,184.762,5.957000000000001,10.904000000000002,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
58,HND,North America,Honduras,2020-05-11,1972.0,142.0,108.0,0.0,199.09900000000002,14.337,10.904000000000002,0.0,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
59,HND,North America,Honduras,2020-05-12,2006.0,34.0,116.0,8.0,202.532,3.4330000000000003,11.712,0.8079999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
60,HND,North America,Honduras,2020-05-13,2080.0,74.0,121.0,5.0,210.003,7.471,12.217,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
61,HND,North America,Honduras,2020-05-14,2255.0,175.0,123.0,2.0,227.672,17.669,12.418,0.20199999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
62,HND,North America,Honduras,2020-05-15,2318.0,63.0,133.0,10.0,234.032,6.361000000000001,13.427999999999999,1.01,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
63,HND,North America,Honduras,2020-05-16,2460.0,142.0,134.0,1.0,248.36900000000003,14.337,13.529000000000002,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
64,HND,North America,Honduras,2020-05-17,2565.0,105.0,138.0,4.0,258.97,10.600999999999999,13.933,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
65,HND,North America,Honduras,2020-05-18,2646.0,81.0,142.0,4.0,267.14799999999997,8.177999999999999,14.337,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
66,HND,North America,Honduras,2020-05-19,2798.0,152.0,146.0,4.0,282.495,15.345999999999998,14.741,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
67,HND,North America,Honduras,2020-05-20,2955.0,157.0,147.0,1.0,298.346,15.850999999999999,14.842,0.10099999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
68,HND,North America,Honduras,2020-05-21,3100.0,145.0,151.0,4.0,312.986,14.64,15.245,0.40399999999999997,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
69,HND,North America,Honduras,2020-05-22,3204.0,104.0,156.0,5.0,323.486,10.5,15.75,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
70,HND,North America,Honduras,2020-05-23,3477.0,273.0,167.0,11.0,351.04900000000004,27.563000000000002,16.861,1.111,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
71,HND,North America,Honduras,2020-05-24,3743.0,266.0,174.0,7.0,377.905,26.855999999999998,17.567999999999998,0.7070000000000001,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
72,HND,North America,Honduras,2020-05-25,3950.0,207.0,180.0,6.0,398.80400000000003,20.899,18.173,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
73,HND,North America,Honduras,2020-05-26,4189.0,239.0,182.0,2.0,422.934,24.13,18.375,0.20199999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
74,HND,North America,Honduras,2020-05-27,4401.0,212.0,188.0,6.0,444.339,21.404,18.980999999999998,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
75,HND,North America,Honduras,2020-05-28,4640.0,239.0,194.0,6.0,468.469,24.13,19.587,0.606,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
76,HND,North America,Honduras,2020-05-29,4752.0,112.0,196.0,2.0,479.777,11.308,19.789,0.20199999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
77,HND,North America,Honduras,2020-05-30,4886.0,134.0,199.0,3.0,493.306,13.529000000000002,20.092,0.303,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
78,HND,North America,Honduras,2020-05-31,5094.0,208.0,201.0,2.0,514.306,21.0,20.294,0.20199999999999999,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
79,HND,North America,Honduras,2020-06-01,5202.0,108.0,212.0,11.0,525.21,10.904000000000002,21.404,1.111,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
80,HND,North America,Honduras,2020-06-02,5362.0,160.0,217.0,5.0,541.364,16.154,21.909000000000002,0.505,,,,,,,,100.0,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,,7.21,2.0,,84.169,0.7,75.27
