,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,HKG,Asia,Hong Kong,2020-01-31,,,,,,,,,3610.0,,0.48200000000000004,,,,tests performed,49.07,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
1,HKG,Asia,Hong Kong,2020-02-29,,,,,,,,,30593.0,,4.081,,,,tests performed,52.78,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
2,HKG,Asia,Hong Kong,2020-03-31,,,,,,,,,96598.0,,12.885,,,,tests performed,63.89,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
3,HKG,Asia,Hong Kong,2020-04-30,,,,,,,,,162935.0,,21.733,,,,tests performed,66.67,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
4,HKG,Asia,Hong Kong,2020-05-31,,,,,,,,,238046.0,,31.752,,,,tests performed,52.78,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
5,HKG,Asia,Hong Kong,2020-06-30,,,,,,,,,347434.0,,46.343,,,,tests performed,41.67,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
6,HKG,Asia,Hong Kong,2020-07-31,,,,,,,,,644877.0,,86.01799999999999,,,,tests performed,66.67,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
7,HKG,Asia,Hong Kong,2020-08-31,,,,,,,,,936912.0,,124.97200000000001,,,,tests performed,66.67,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
8,HKG,Asia,Hong Kong,2020-09-01,,,,,,,,,,,,,,,tests performed,66.67,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
9,HKG,Asia,Hong Kong,2020-09-02,,,,,,,,,,,,,,,tests performed,66.67,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86
