,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,HUN,Europe,Hungary,2020-03-04,,,,,,,,,230.0,,0.024,,,,tests performed,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
1,HUN,Europe,Hungary,2020-03-05,2.0,2.0,,0.0,0.207,0.207,,0.0,,,,,,,tests performed,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
2,HUN,Europe,Hungary,2020-03-06,,,,,,,,,269.0,,0.027999999999999997,,,,tests performed,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
3,HUN,Europe,Hungary,2020-03-07,4.0,2.0,,0.0,0.414,0.207,,0.0,319.0,50.0,0.033,0.005,,,tests performed,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
4,HUN,Europe,Hungary,2020-03-08,7.0,3.0,,0.0,0.725,0.311,,0.0,362.0,43.0,0.037000000000000005,0.004,,,tests performed,11.11,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
5,HUN,Europe,Hungary,2020-03-09,8.0,1.0,,0.0,0.828,0.10400000000000001,,0.0,,,,,,,tests performed,19.44,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
6,HUN,Europe,Hungary,2020-03-10,9.0,1.0,,0.0,0.932,0.10400000000000001,,0.0,531.0,,0.055,,,,tests performed,19.44,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
7,HUN,Europe,Hungary,2020-03-11,12.0,3.0,,0.0,1.242,0.311,,0.0,609.0,78.0,0.063,0.008,54.0,0.006,tests performed,50.0,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
8,HUN,Europe,Hungary,2020-03-12,13.0,1.0,,0.0,1.3459999999999999,0.10400000000000001,,0.0,730.0,121.0,0.076,0.013000000000000001,69.0,0.006999999999999999,tests performed,53.7,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
9,HUN,Europe,Hungary,2020-03-13,16.0,3.0,,0.0,1.656,0.311,,0.0,858.0,128.0,0.08900000000000001,0.013000000000000001,84.0,0.009000000000000001,tests performed,53.7,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
10,HUN,Europe,Hungary,2020-03-14,25.0,9.0,,0.0,2.588,0.932,,0.0,1014.0,156.0,0.105,0.016,99.0,0.01,tests performed,53.7,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
11,HUN,Europe,Hungary,2020-03-15,31.0,6.0,,0.0,3.2089999999999996,0.621,,0.0,1236.0,222.0,0.128,0.023,125.0,0.013000000000000001,tests performed,53.7,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
12,HUN,Europe,Hungary,2020-03-16,39.0,8.0,1.0,1.0,4.037,0.828,0.10400000000000001,0.10400000000000001,1470.0,234.0,0.152,0.024,146.0,0.015,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
13,HUN,Europe,Hungary,2020-03-17,50.0,11.0,1.0,0.0,5.176,1.139,0.10400000000000001,0.0,1587.0,117.0,0.16399999999999998,0.012,151.0,0.016,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
14,HUN,Europe,Hungary,2020-03-18,50.0,0.0,1.0,0.0,5.176,0.0,0.10400000000000001,0.0,1803.0,216.0,0.187,0.022000000000000002,171.0,0.018000000000000002,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
15,HUN,Europe,Hungary,2020-03-19,73.0,23.0,1.0,0.0,7.557,2.381,0.10400000000000001,0.0,2322.0,519.0,0.24,0.054000000000000006,227.0,0.023,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
16,HUN,Europe,Hungary,2020-03-20,85.0,12.0,1.0,0.0,8.799,1.242,0.10400000000000001,0.0,3007.0,685.0,0.311,0.071,307.0,0.032,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
17,HUN,Europe,Hungary,2020-03-21,103.0,18.0,4.0,3.0,10.662,1.8630000000000002,0.414,0.311,3477.0,470.0,0.36,0.049,352.0,0.036000000000000004,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
18,HUN,Europe,Hungary,2020-03-22,131.0,28.0,4.0,0.0,13.561,2.898,0.414,0.0,4443.0,966.0,0.46,0.1,458.0,0.047,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
19,HUN,Europe,Hungary,2020-03-23,167.0,36.0,7.0,3.0,17.287,3.727,0.725,0.311,5515.0,1072.0,0.5710000000000001,0.111,578.0,0.06,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
20,HUN,Europe,Hungary,2020-03-24,187.0,20.0,8.0,1.0,19.357,2.07,0.828,0.10400000000000001,6113.0,598.0,0.633,0.062,647.0,0.067,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
21,HUN,Europe,Hungary,2020-03-25,226.0,39.0,10.0,2.0,23.395,4.037,1.035,0.207,6817.0,704.0,0.706,0.073,716.0,0.07400000000000001,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
22,HUN,Europe,Hungary,2020-03-26,261.0,35.0,10.0,0.0,27.018,3.623,1.035,0.0,8005.0,1188.0,0.8290000000000001,0.12300000000000001,812.0,0.084,tests performed,67.59,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
23,HUN,Europe,Hungary,2020-03-27,300.0,39.0,10.0,0.0,31.055,4.037,1.035,0.0,9275.0,1270.0,0.96,0.131,895.0,0.09300000000000001,tests performed,71.3,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
24,HUN,Europe,Hungary,2020-03-28,343.0,43.0,11.0,1.0,35.506,4.4510000000000005,1.139,0.10400000000000001,10303.0,1028.0,1.067,0.106,975.0,0.10099999999999999,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
25,HUN,Europe,Hungary,2020-03-29,408.0,65.0,13.0,2.0,42.233999999999995,6.729,1.3459999999999999,0.207,12148.0,1845.0,1.258,0.191,1101.0,0.114,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
26,HUN,Europe,Hungary,2020-03-30,447.0,39.0,15.0,2.0,46.272,4.037,1.5530000000000002,0.207,13301.0,1153.0,1.3769999999999998,0.11900000000000001,1112.0,0.115,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
27,HUN,Europe,Hungary,2020-03-31,492.0,45.0,16.0,1.0,50.93,4.658,1.656,0.10400000000000001,14146.0,845.0,1.464,0.087,1148.0,0.11900000000000001,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
28,HUN,Europe,Hungary,2020-04-01,525.0,33.0,20.0,4.0,54.346000000000004,3.4160000000000004,2.07,0.414,15208.0,1062.0,1.574,0.11,1199.0,0.124,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
29,HUN,Europe,Hungary,2020-04-02,585.0,60.0,21.0,1.0,60.556999999999995,6.211,2.174,0.10400000000000001,16401.0,1193.0,1.6980000000000002,0.12300000000000001,1199.0,0.124,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
30,HUN,Europe,Hungary,2020-04-03,623.0,38.0,26.0,5.0,64.49,3.9339999999999997,2.6910000000000003,0.518,17769.0,1368.0,1.839,0.142,1213.0,0.126,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
31,HUN,Europe,Hungary,2020-04-04,678.0,55.0,32.0,6.0,70.184,5.693,3.313,0.621,19424.0,1655.0,2.011,0.171,1303.0,0.135,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
32,HUN,Europe,Hungary,2020-04-05,733.0,55.0,34.0,2.0,75.877,5.693,3.52,0.207,21250.0,1826.0,2.2,0.18899999999999997,1300.0,0.135,tests performed,76.85,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,,7.55,26.8,34.8,,7.02,76.88
