,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ISL,Europe,Iceland,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
1,ISL,Europe,Iceland,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
2,ISL,Europe,Iceland,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
3,ISL,Europe,Iceland,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
4,ISL,Europe,Iceland,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
5,ISL,Europe,Iceland,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
6,ISL,Europe,Iceland,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
7,ISL,Europe,Iceland,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
8,ISL,Europe,Iceland,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
9,ISL,Europe,Iceland,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,,5.31,14.3,15.2,,2.91,82.99
