,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,IDN,Asia,Indonesia,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
1,IDN,Asia,Indonesia,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
2,IDN,Asia,Indonesia,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
3,IDN,Asia,Indonesia,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
4,IDN,Asia,Indonesia,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
5,IDN,Asia,Indonesia,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
6,IDN,Asia,Indonesia,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
7,IDN,Asia,Indonesia,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
8,IDN,Asia,Indonesia,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
9,IDN,Asia,Indonesia,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
10,IDN,Asia,Indonesia,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
11,IDN,Asia,Indonesia,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
12,IDN,Asia,Indonesia,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
13,IDN,Asia,Indonesia,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
14,IDN,Asia,Indonesia,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
15,IDN,Asia,Indonesia,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
16,IDN,Asia,Indonesia,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
17,IDN,Asia,Indonesia,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
18,IDN,Asia,Indonesia,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
19,IDN,Asia,Indonesia,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
20,IDN,Asia,Indonesia,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
21,IDN,Asia,Indonesia,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
22,IDN,Asia,Indonesia,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
23,IDN,Asia,Indonesia,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
24,IDN,Asia,Indonesia,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
25,IDN,Asia,Indonesia,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
26,IDN,Asia,Indonesia,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
27,IDN,Asia,Indonesia,2020-01-27,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
28,IDN,Asia,Indonesia,2020-01-28,,0.0,,0.0,,0.0,,0.0,,,,,,,,8.33,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
29,IDN,Asia,Indonesia,2020-01-29,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
30,IDN,Asia,Indonesia,2020-01-30,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
31,IDN,Asia,Indonesia,2020-01-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
32,IDN,Asia,Indonesia,2020-02-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
33,IDN,Asia,Indonesia,2020-02-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
34,IDN,Asia,Indonesia,2020-02-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,23.15,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
35,IDN,Asia,Indonesia,2020-02-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,23.15,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
36,IDN,Asia,Indonesia,2020-02-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
37,IDN,Asia,Indonesia,2020-02-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
38,IDN,Asia,Indonesia,2020-02-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
39,IDN,Asia,Indonesia,2020-02-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
40,IDN,Asia,Indonesia,2020-02-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
41,IDN,Asia,Indonesia,2020-02-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
42,IDN,Asia,Indonesia,2020-02-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
43,IDN,Asia,Indonesia,2020-02-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
44,IDN,Asia,Indonesia,2020-02-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
45,IDN,Asia,Indonesia,2020-02-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
46,IDN,Asia,Indonesia,2020-02-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
47,IDN,Asia,Indonesia,2020-02-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
48,IDN,Asia,Indonesia,2020-02-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
49,IDN,Asia,Indonesia,2020-02-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
50,IDN,Asia,Indonesia,2020-02-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
51,IDN,Asia,Indonesia,2020-02-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
52,IDN,Asia,Indonesia,2020-02-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
53,IDN,Asia,Indonesia,2020-02-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
54,IDN,Asia,Indonesia,2020-02-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
55,IDN,Asia,Indonesia,2020-02-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,28.7,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,,6.32,2.8,76.1,64.204,1.04,71.72
