,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,IRN,Asia,Iran,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
1,IRN,Asia,Iran,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
2,IRN,Asia,Iran,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
3,IRN,Asia,Iran,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
4,IRN,Asia,Iran,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
5,IRN,Asia,Iran,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
6,IRN,Asia,Iran,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
7,IRN,Asia,Iran,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
8,IRN,Asia,Iran,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
9,IRN,Asia,Iran,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
10,IRN,Asia,Iran,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
11,IRN,Asia,Iran,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
12,IRN,Asia,Iran,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
13,IRN,Asia,Iran,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
14,IRN,Asia,Iran,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
15,IRN,Asia,Iran,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
16,IRN,Asia,Iran,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
17,IRN,Asia,Iran,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
18,IRN,Asia,Iran,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
19,IRN,Asia,Iran,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
20,IRN,Asia,Iran,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
21,IRN,Asia,Iran,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
22,IRN,Asia,Iran,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,,9.59,0.8,21.1,,1.5,76.68
