,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,IMN,Europe,Isle of Man,2020-03-21,1.0,1.0,,0.0,11.76,11.76,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
1,IMN,Europe,Isle of Man,2020-03-22,2.0,1.0,,0.0,23.521,11.76,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
2,IMN,Europe,Isle of Man,2020-03-23,2.0,0.0,,0.0,23.521,0.0,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
3,IMN,Europe,Isle of Man,2020-03-24,13.0,11.0,,0.0,152.884,129.363,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
4,IMN,Europe,Isle of Man,2020-03-25,23.0,10.0,,0.0,270.486,117.603,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
5,IMN,Europe,Isle of Man,2020-03-26,23.0,0.0,,0.0,270.486,0.0,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
6,IMN,Europe,Isle of Man,2020-03-27,26.0,3.0,,0.0,305.767,35.281,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
7,IMN,Europe,Isle of Man,2020-03-28,29.0,3.0,,0.0,341.048,35.281,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
8,IMN,Europe,Isle of Man,2020-03-29,32.0,3.0,,0.0,376.329,35.281,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
9,IMN,Europe,Isle of Man,2020-03-30,42.0,10.0,,0.0,493.93199999999996,117.603,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
10,IMN,Europe,Isle of Man,2020-03-31,42.0,0.0,,0.0,493.93199999999996,0.0,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
11,IMN,Europe,Isle of Man,2020-04-01,52.0,10.0,,0.0,611.534,117.603,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
12,IMN,Europe,Isle of Man,2020-04-02,65.0,13.0,,0.0,764.418,152.884,,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
13,IMN,Europe,Isle of Man,2020-04-03,71.0,6.0,1.0,1.0,834.98,70.562,11.76,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
14,IMN,Europe,Isle of Man,2020-04-04,114.0,43.0,1.0,0.0,1340.672,505.69199999999995,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
15,IMN,Europe,Isle of Man,2020-04-05,126.0,12.0,1.0,0.0,1481.795,141.123,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
16,IMN,Europe,Isle of Man,2020-04-06,127.0,1.0,1.0,0.0,1493.555,11.76,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
17,IMN,Europe,Isle of Man,2020-04-07,139.0,12.0,1.0,0.0,1634.6789999999999,141.123,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
18,IMN,Europe,Isle of Man,2020-04-08,150.0,11.0,1.0,0.0,1764.0420000000001,129.363,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
19,IMN,Europe,Isle of Man,2020-04-09,158.0,8.0,1.0,0.0,1858.124,94.08200000000001,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
20,IMN,Europe,Isle of Man,2020-04-10,190.0,32.0,1.0,0.0,2234.453,376.329,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
21,IMN,Europe,Isle of Man,2020-04-11,201.0,11.0,1.0,0.0,2363.8160000000003,129.363,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
22,IMN,Europe,Isle of Man,2020-04-12,226.0,25.0,1.0,0.0,2657.823,294.007,11.76,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
23,IMN,Europe,Isle of Man,2020-04-13,228.0,2.0,2.0,1.0,2681.343,23.521,23.521,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
24,IMN,Europe,Isle of Man,2020-04-14,242.0,14.0,2.0,0.0,2845.987,164.644,23.521,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
25,IMN,Europe,Isle of Man,2020-04-15,242.0,0.0,2.0,0.0,2845.987,0.0,23.521,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
26,IMN,Europe,Isle of Man,2020-04-16,254.0,12.0,2.0,0.0,2987.111,141.123,23.521,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
27,IMN,Europe,Isle of Man,2020-04-17,284.0,30.0,4.0,2.0,3339.9190000000003,352.80800000000005,47.041000000000004,23.521,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
28,IMN,Europe,Isle of Man,2020-04-18,289.0,5.0,4.0,0.0,3398.72,58.801,47.041000000000004,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
29,IMN,Europe,Isle of Man,2020-04-19,297.0,8.0,6.0,2.0,3492.803,94.08200000000001,70.562,23.521,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
30,IMN,Europe,Isle of Man,2020-04-20,298.0,1.0,6.0,0.0,3504.563,11.76,70.562,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
31,IMN,Europe,Isle of Man,2020-04-21,300.0,2.0,9.0,3.0,3528.0840000000003,23.521,105.84299999999999,35.281,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
32,IMN,Europe,Isle of Man,2020-04-22,307.0,7.0,10.0,1.0,3610.405,82.322,117.603,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
33,IMN,Europe,Isle of Man,2020-04-23,307.0,0.0,15.0,5.0,3610.405,0.0,176.40400000000002,58.801,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
34,IMN,Europe,Isle of Man,2020-04-24,307.0,0.0,16.0,1.0,3610.405,0.0,188.16400000000002,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
35,IMN,Europe,Isle of Man,2020-04-25,308.0,1.0,18.0,2.0,3622.1659999999997,11.76,211.685,23.521,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
36,IMN,Europe,Isle of Man,2020-04-26,308.0,0.0,18.0,0.0,3622.1659999999997,0.0,211.685,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
37,IMN,Europe,Isle of Man,2020-04-27,308.0,0.0,18.0,0.0,3622.1659999999997,0.0,211.685,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
38,IMN,Europe,Isle of Man,2020-04-28,308.0,0.0,18.0,0.0,3622.1659999999997,0.0,211.685,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
39,IMN,Europe,Isle of Man,2020-04-29,309.0,1.0,21.0,3.0,3633.926,11.76,246.96599999999998,35.281,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
40,IMN,Europe,Isle of Man,2020-04-30,313.0,4.0,21.0,0.0,3680.967,47.041000000000004,246.96599999999998,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
41,IMN,Europe,Isle of Man,2020-05-01,315.0,2.0,21.0,0.0,3704.488,23.521,246.96599999999998,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
42,IMN,Europe,Isle of Man,2020-05-02,316.0,1.0,22.0,1.0,3716.248,11.76,258.726,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
43,IMN,Europe,Isle of Man,2020-05-03,320.0,4.0,22.0,0.0,3763.289,47.041000000000004,258.726,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
44,IMN,Europe,Isle of Man,2020-05-04,321.0,1.0,22.0,0.0,3775.0490000000004,11.76,258.726,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
45,IMN,Europe,Isle of Man,2020-05-05,325.0,4.0,23.0,1.0,3822.091,47.041000000000004,270.486,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
46,IMN,Europe,Isle of Man,2020-05-06,326.0,1.0,23.0,0.0,3833.8509999999997,11.76,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
47,IMN,Europe,Isle of Man,2020-05-07,327.0,1.0,23.0,0.0,3845.611,11.76,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
48,IMN,Europe,Isle of Man,2020-05-08,329.0,2.0,23.0,0.0,3869.132,23.521,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
49,IMN,Europe,Isle of Man,2020-05-09,329.0,0.0,23.0,0.0,3869.132,0.0,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
50,IMN,Europe,Isle of Man,2020-05-10,330.0,1.0,23.0,0.0,3880.8920000000003,11.76,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
51,IMN,Europe,Isle of Man,2020-05-11,330.0,0.0,23.0,0.0,3880.8920000000003,0.0,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
52,IMN,Europe,Isle of Man,2020-05-12,330.0,0.0,23.0,0.0,3880.8920000000003,0.0,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
53,IMN,Europe,Isle of Man,2020-05-13,331.0,1.0,23.0,0.0,3892.652,11.76,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
54,IMN,Europe,Isle of Man,2020-05-14,332.0,1.0,23.0,0.0,3904.4120000000003,11.76,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
55,IMN,Europe,Isle of Man,2020-05-15,332.0,0.0,23.0,0.0,3904.4120000000003,0.0,270.486,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
56,IMN,Europe,Isle of Man,2020-05-16,334.0,2.0,24.0,1.0,3927.933,23.521,282.247,11.76,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
57,IMN,Europe,Isle of Man,2020-05-17,335.0,1.0,24.0,0.0,3939.6929999999998,11.76,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
58,IMN,Europe,Isle of Man,2020-05-18,335.0,0.0,24.0,0.0,3939.6929999999998,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
59,IMN,Europe,Isle of Man,2020-05-19,335.0,0.0,24.0,0.0,3939.6929999999998,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
60,IMN,Europe,Isle of Man,2020-05-20,335.0,0.0,24.0,0.0,3939.6929999999998,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
61,IMN,Europe,Isle of Man,2020-05-21,336.0,1.0,24.0,0.0,3951.454,11.76,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
62,IMN,Europe,Isle of Man,2020-05-22,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
63,IMN,Europe,Isle of Man,2020-05-23,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
64,IMN,Europe,Isle of Man,2020-05-24,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
65,IMN,Europe,Isle of Man,2020-05-25,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
66,IMN,Europe,Isle of Man,2020-05-26,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
67,IMN,Europe,Isle of Man,2020-05-27,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
68,IMN,Europe,Isle of Man,2020-05-28,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
69,IMN,Europe,Isle of Man,2020-05-29,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
70,IMN,Europe,Isle of Man,2020-05-30,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
71,IMN,Europe,Isle of Man,2020-05-31,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
72,IMN,Europe,Isle of Man,2020-06-01,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
73,IMN,Europe,Isle of Man,2020-06-02,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
74,IMN,Europe,Isle of Man,2020-06-03,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
75,IMN,Europe,Isle of Man,2020-06-04,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
76,IMN,Europe,Isle of Man,2020-06-05,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
77,IMN,Europe,Isle of Man,2020-06-06,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
78,IMN,Europe,Isle of Man,2020-06-07,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
79,IMN,Europe,Isle of Man,2020-06-08,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
80,IMN,Europe,Isle of Man,2020-06-09,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
81,IMN,Europe,Isle of Man,2020-06-10,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
82,IMN,Europe,Isle of Man,2020-06-11,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
83,IMN,Europe,Isle of Man,2020-06-12,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
84,IMN,Europe,Isle of Man,2020-06-13,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
85,IMN,Europe,Isle of Man,2020-06-14,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
86,IMN,Europe,Isle of Man,2020-06-15,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
87,IMN,Europe,Isle of Man,2020-06-16,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
88,IMN,Europe,Isle of Man,2020-06-17,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
89,IMN,Europe,Isle of Man,2020-06-18,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
90,IMN,Europe,Isle of Man,2020-06-19,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
91,IMN,Europe,Isle of Man,2020-06-20,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
92,IMN,Europe,Isle of Man,2020-06-21,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
93,IMN,Europe,Isle of Man,2020-06-22,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
94,IMN,Europe,Isle of Man,2020-06-23,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
95,IMN,Europe,Isle of Man,2020-06-24,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
96,IMN,Europe,Isle of Man,2020-06-25,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
97,IMN,Europe,Isle of Man,2020-06-26,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
98,IMN,Europe,Isle of Man,2020-06-27,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
99,IMN,Europe,Isle of Man,2020-06-28,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
100,IMN,Europe,Isle of Man,2020-06-29,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
101,IMN,Europe,Isle of Man,2020-06-30,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
102,IMN,Europe,Isle of Man,2020-07-01,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
103,IMN,Europe,Isle of Man,2020-07-02,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
104,IMN,Europe,Isle of Man,2020-07-03,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
105,IMN,Europe,Isle of Man,2020-07-04,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
106,IMN,Europe,Isle of Man,2020-07-05,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
107,IMN,Europe,Isle of Man,2020-07-06,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
108,IMN,Europe,Isle of Man,2020-07-07,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
109,IMN,Europe,Isle of Man,2020-07-08,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
110,IMN,Europe,Isle of Man,2020-07-09,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
111,IMN,Europe,Isle of Man,2020-07-10,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
112,IMN,Europe,Isle of Man,2020-07-11,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
113,IMN,Europe,Isle of Man,2020-07-12,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
114,IMN,Europe,Isle of Man,2020-07-13,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
115,IMN,Europe,Isle of Man,2020-07-14,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
116,IMN,Europe,Isle of Man,2020-07-15,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
117,IMN,Europe,Isle of Man,2020-07-16,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
118,IMN,Europe,Isle of Man,2020-07-17,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
119,IMN,Europe,Isle of Man,2020-07-18,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
120,IMN,Europe,Isle of Man,2020-07-19,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
121,IMN,Europe,Isle of Man,2020-07-20,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
122,IMN,Europe,Isle of Man,2020-07-21,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
123,IMN,Europe,Isle of Man,2020-07-22,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
124,IMN,Europe,Isle of Man,2020-07-23,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
125,IMN,Europe,Isle of Man,2020-07-24,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
126,IMN,Europe,Isle of Man,2020-07-25,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
127,IMN,Europe,Isle of Man,2020-07-26,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
128,IMN,Europe,Isle of Man,2020-07-27,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
129,IMN,Europe,Isle of Man,2020-07-28,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
130,IMN,Europe,Isle of Man,2020-07-29,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
131,IMN,Europe,Isle of Man,2020-07-30,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
132,IMN,Europe,Isle of Man,2020-07-31,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
133,IMN,Europe,Isle of Man,2020-08-01,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
134,IMN,Europe,Isle of Man,2020-08-02,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
135,IMN,Europe,Isle of Man,2020-08-03,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
136,IMN,Europe,Isle of Man,2020-08-04,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
137,IMN,Europe,Isle of Man,2020-08-05,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
138,IMN,Europe,Isle of Man,2020-08-06,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
139,IMN,Europe,Isle of Man,2020-08-07,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
140,IMN,Europe,Isle of Man,2020-08-08,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
141,IMN,Europe,Isle of Man,2020-08-09,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
142,IMN,Europe,Isle of Man,2020-08-10,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
143,IMN,Europe,Isle of Man,2020-08-11,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
144,IMN,Europe,Isle of Man,2020-08-12,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
145,IMN,Europe,Isle of Man,2020-08-13,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
146,IMN,Europe,Isle of Man,2020-08-14,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
147,IMN,Europe,Isle of Man,2020-08-15,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
148,IMN,Europe,Isle of Man,2020-08-16,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
149,IMN,Europe,Isle of Man,2020-08-17,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
150,IMN,Europe,Isle of Man,2020-08-18,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,,81.4
