,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,ISR,Asia,Israel,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
1,ISR,Asia,Israel,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
2,ISR,Asia,Israel,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
3,ISR,Asia,Israel,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
4,ISR,Asia,Israel,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
5,ISR,Asia,Israel,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
6,ISR,Asia,Israel,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
7,ISR,Asia,Israel,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
8,ISR,Asia,Israel,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
9,ISR,Asia,Israel,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
10,ISR,Asia,Israel,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
11,ISR,Asia,Israel,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,,6.74,15.4,35.4,,2.99,82.97
