,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,JAM,North America,Jamaica,2020-03-12,2.0,2.0,,0.0,0.675,0.675,,0.0,,,,,,,,30.56,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
1,JAM,North America,Jamaica,2020-03-13,6.0,4.0,,0.0,2.026,1.351,,0.0,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
2,JAM,North America,Jamaica,2020-03-14,8.0,2.0,,0.0,2.702,0.675,,0.0,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
3,JAM,North America,Jamaica,2020-03-16,10.0,2.0,,0.0,3.377,0.675,,0.0,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
4,JAM,North America,Jamaica,2020-03-17,10.0,0.0,,0.0,3.377,0.0,,0.0,,,,,,,,59.26,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
5,JAM,North America,Jamaica,2020-03-18,13.0,3.0,,0.0,4.39,1.013,,0.0,,,,,,,,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
6,JAM,North America,Jamaica,2020-03-19,15.0,2.0,,0.0,5.066,0.675,,0.0,,,,,,,,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
7,JAM,North America,Jamaica,2020-03-20,16.0,1.0,,0.0,5.403,0.33799999999999997,,0.0,,,,,,,,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
8,JAM,North America,Jamaica,2020-03-21,19.0,3.0,,0.0,6.416,1.013,,0.0,,,,,,,,74.07,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
9,JAM,North America,Jamaica,2020-03-22,19.0,0.0,,0.0,6.416,0.0,,0.0,,,,,,,,74.07,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
10,JAM,North America,Jamaica,2020-03-23,19.0,0.0,,0.0,6.416,0.0,,0.0,,,,,,,,74.07,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
11,JAM,North America,Jamaica,2020-03-24,19.0,0.0,,0.0,6.416,0.0,,0.0,148.0,,0.05,,,,samples tested,74.07,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
12,JAM,North America,Jamaica,2020-03-25,21.0,2.0,1.0,1.0,7.0920000000000005,0.675,0.33799999999999997,0.33799999999999997,,,,,,,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
13,JAM,North America,Jamaica,2020-03-26,25.0,4.0,1.0,0.0,8.443,1.351,0.33799999999999997,0.0,,,,,,,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
14,JAM,North America,Jamaica,2020-03-27,26.0,1.0,1.0,0.0,8.78,0.33799999999999997,0.33799999999999997,0.0,,,,,,,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
15,JAM,North America,Jamaica,2020-03-28,26.0,0.0,1.0,0.0,8.78,0.0,0.33799999999999997,0.0,253.0,,0.085,,,,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
16,JAM,North America,Jamaica,2020-03-29,32.0,6.0,1.0,0.0,10.807,2.026,0.33799999999999997,0.0,287.0,34.0,0.09699999999999999,0.011000000000000001,,,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
17,JAM,North America,Jamaica,2020-03-30,34.0,2.0,1.0,0.0,11.482000000000001,0.675,0.33799999999999997,0.0,,,,,,,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
18,JAM,North America,Jamaica,2020-03-31,38.0,4.0,1.0,0.0,12.833,1.351,0.33799999999999997,0.0,,,,,33.0,0.011000000000000001,samples tested,75.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
19,JAM,North America,Jamaica,2020-04-01,38.0,0.0,1.0,0.0,12.833,0.0,0.33799999999999997,0.0,,,,,36.0,0.012,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
20,JAM,North America,Jamaica,2020-04-02,44.0,6.0,3.0,2.0,14.859000000000002,2.026,1.013,0.675,473.0,,0.16,,39.0,0.013000000000000001,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
21,JAM,North America,Jamaica,2020-04-03,47.0,3.0,3.0,0.0,15.872,1.013,1.013,0.0,,,,,45.0,0.015,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
22,JAM,North America,Jamaica,2020-04-04,53.0,6.0,3.0,0.0,17.898,2.026,1.013,0.0,,,,,50.0,0.017,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
23,JAM,North America,Jamaica,2020-04-05,55.0,2.0,3.0,0.0,18.574,0.675,1.013,0.0,,,,,55.0,0.019,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
24,JAM,North America,Jamaica,2020-04-06,58.0,3.0,3.0,0.0,19.587,1.013,1.013,0.0,,,,,57.0,0.019,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
25,JAM,North America,Jamaica,2020-04-07,59.0,1.0,3.0,0.0,19.925,0.33799999999999997,1.013,0.0,,,,,60.0,0.02,samples tested,78.7,2961161.0,266.879,31.4,9.684,6.39,8193.571,,,11.28,5.3,28.6,66.425,1.7,74.47
