,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,JPN,Asia,Japan,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
1,JPN,Asia,Japan,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
2,JPN,Asia,Japan,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
3,JPN,Asia,Japan,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
4,JPN,Asia,Japan,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
5,JPN,Asia,Japan,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
6,JPN,Asia,Japan,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
7,JPN,Asia,Japan,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,2.78,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
8,JPN,Asia,Japan,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,2.78,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
9,JPN,Asia,Japan,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,2.78,126476458.0,347.778,48.2,27.049,18.493,39002.223,,,5.72,11.2,33.7,,13.05,84.63
