,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,JEY,Europe,Jersey,2020-03-20,5.0,5.0,,0.0,49.468999999999994,49.468999999999994,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
1,JEY,Europe,Jersey,2020-03-21,12.0,7.0,,0.0,118.726,69.257,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
2,JEY,Europe,Jersey,2020-03-22,12.0,0.0,,0.0,118.726,0.0,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
3,JEY,Europe,Jersey,2020-03-23,15.0,3.0,,0.0,148.408,29.682,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
4,JEY,Europe,Jersey,2020-03-24,18.0,3.0,,0.0,178.08900000000003,29.682,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
5,JEY,Europe,Jersey,2020-03-25,18.0,0.0,,0.0,178.08900000000003,0.0,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
6,JEY,Europe,Jersey,2020-03-26,18.0,0.0,,0.0,178.08900000000003,0.0,,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
7,JEY,Europe,Jersey,2020-03-27,32.0,14.0,1.0,1.0,316.603,138.514,9.894,9.894,,,,,,,,,101073.0,,,,,,,,,,,,,
8,JEY,Europe,Jersey,2020-03-28,52.0,20.0,1.0,0.0,514.48,197.877,9.894,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
9,JEY,Europe,Jersey,2020-03-29,61.0,9.0,1.0,0.0,603.524,89.045,9.894,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
10,JEY,Europe,Jersey,2020-03-30,63.0,2.0,2.0,1.0,623.312,19.788,19.788,9.894,,,,,,,,,101073.0,,,,,,,,,,,,,
11,JEY,Europe,Jersey,2020-03-31,63.0,0.0,2.0,0.0,623.312,0.0,19.788,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
12,JEY,Europe,Jersey,2020-04-01,81.0,18.0,2.0,0.0,801.4010000000001,178.08900000000003,19.788,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
13,JEY,Europe,Jersey,2020-04-02,81.0,0.0,2.0,0.0,801.4010000000001,0.0,19.788,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
14,JEY,Europe,Jersey,2020-04-03,81.0,0.0,2.0,0.0,801.4010000000001,0.0,19.788,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
15,JEY,Europe,Jersey,2020-04-04,118.0,37.0,2.0,0.0,1167.473,366.07199999999995,19.788,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
16,JEY,Europe,Jersey,2020-04-05,123.0,5.0,3.0,1.0,1216.942,49.468999999999994,29.682,9.894,,,,,,,,,101073.0,,,,,,,,,,,,,
17,JEY,Europe,Jersey,2020-04-06,155.0,32.0,3.0,0.0,1533.545,316.603,29.682,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
18,JEY,Europe,Jersey,2020-04-07,169.0,14.0,3.0,0.0,1672.059,138.514,29.682,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
19,JEY,Europe,Jersey,2020-04-08,170.0,1.0,3.0,0.0,1681.953,9.894,29.682,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
20,JEY,Europe,Jersey,2020-04-09,170.0,0.0,3.0,0.0,1681.953,0.0,29.682,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
21,JEY,Europe,Jersey,2020-04-10,183.0,13.0,3.0,0.0,1810.5729999999999,128.62,29.682,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
22,JEY,Europe,Jersey,2020-04-11,198.0,15.0,4.0,1.0,1958.98,148.408,39.575,9.894,,,,,,,,,101073.0,,,,,,,,,,,,,
23,JEY,Europe,Jersey,2020-04-12,198.0,0.0,4.0,0.0,1958.98,0.0,39.575,0.0,,,,,,,,,101073.0,,,,,,,,,,,,,
