,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,JOR,Asia,Jordan,2020-03-03,1.0,1.0,,0.0,0.098,0.098,,0.0,,,,,,,,0.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
1,JOR,Asia,Jordan,2020-03-08,1.0,0.0,,0.0,0.098,0.0,,0.0,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
2,JOR,Asia,Jordan,2020-03-09,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
3,JOR,Asia,Jordan,2020-03-10,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
4,JOR,Asia,Jordan,2020-03-11,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
5,JOR,Asia,Jordan,2020-03-12,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
6,JOR,Asia,Jordan,2020-03-13,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
7,JOR,Asia,Jordan,2020-03-14,,,,,,,,,,,,,,,,11.11,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
8,JOR,Asia,Jordan,2020-03-15,1.0,0.0,,0.0,0.098,0.0,,0.0,,,,,,,,33.33,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
9,JOR,Asia,Jordan,2020-03-16,15.0,14.0,,0.0,1.47,1.3719999999999999,,0.0,,,,,,,,33.33,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,,11.75,,,,1.4,74.53
