,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,KAZ,Asia,Kazakhstan,2020-03-13,,,,,,,,,126.0,,0.006999999999999999,,,,tests performed,19.44,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
1,KAZ,Asia,Kazakhstan,2020-03-14,,,,,,,,,445.0,319.0,0.024,0.017,,,tests performed,19.44,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
2,KAZ,Asia,Kazakhstan,2020-03-15,6.0,6.0,,0.0,0.32,0.32,,0.0,652.0,207.0,0.035,0.011000000000000001,,,tests performed,19.44,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
3,KAZ,Asia,Kazakhstan,2020-03-16,9.0,3.0,,0.0,0.479,0.16,,0.0,1038.0,386.0,0.055,0.021,,,tests performed,47.22,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
4,KAZ,Asia,Kazakhstan,2020-03-17,11.0,2.0,,0.0,0.586,0.107,,0.0,1970.0,932.0,0.105,0.05,,,tests performed,47.22,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
5,KAZ,Asia,Kazakhstan,2020-03-18,33.0,22.0,,0.0,1.757,1.172,,0.0,2234.0,264.0,0.11900000000000001,0.013999999999999999,,,tests performed,55.56,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
6,KAZ,Asia,Kazakhstan,2020-03-19,37.0,4.0,,0.0,1.9709999999999999,0.213,,0.0,3284.0,1050.0,0.175,0.055999999999999994,,,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
7,KAZ,Asia,Kazakhstan,2020-03-20,49.0,12.0,,0.0,2.61,0.639,,0.0,4100.0,816.0,0.218,0.043,568.0,0.03,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
8,KAZ,Asia,Kazakhstan,2020-03-21,53.0,4.0,,0.0,2.823,0.213,,0.0,5275.0,1175.0,0.281,0.063,690.0,0.037000000000000005,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
9,KAZ,Asia,Kazakhstan,2020-03-22,56.0,3.0,,0.0,2.9819999999999998,0.16,,0.0,6508.0,1233.0,0.34700000000000003,0.066,837.0,0.045,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
10,KAZ,Asia,Kazakhstan,2020-03-23,60.0,4.0,,0.0,3.195,0.213,,0.0,8262.0,1754.0,0.44,0.09300000000000001,1032.0,0.055,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
11,KAZ,Asia,Kazakhstan,2020-03-24,62.0,2.0,,0.0,3.302,0.107,,0.0,9884.0,1622.0,0.526,0.086,1131.0,0.06,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
12,KAZ,Asia,Kazakhstan,2020-03-25,79.0,17.0,,0.0,4.207,0.905,,0.0,11349.0,1465.0,0.604,0.078,1302.0,0.069,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
13,KAZ,Asia,Kazakhstan,2020-03-26,88.0,9.0,,0.0,4.687,0.479,,0.0,13460.0,2111.0,0.7170000000000001,0.11199999999999999,1454.0,0.077,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
14,KAZ,Asia,Kazakhstan,2020-03-27,120.0,32.0,,0.0,6.391,1.704,,0.0,15147.0,1687.0,0.807,0.09,1578.0,0.084,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
15,KAZ,Asia,Kazakhstan,2020-03-28,193.0,73.0,,0.0,10.279000000000002,3.888,,0.0,16622.0,1475.0,0.885,0.079,1621.0,0.086,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
16,KAZ,Asia,Kazakhstan,2020-03-29,229.0,36.0,,0.0,12.196,1.9169999999999998,,0.0,19318.0,2696.0,1.0290000000000001,0.14400000000000002,1830.0,0.09699999999999999,tests performed,80.09,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
17,KAZ,Asia,Kazakhstan,2020-03-30,284.0,55.0,1.0,1.0,15.125,2.929,0.053,0.053,21013.0,1695.0,1.119,0.09,1822.0,0.09699999999999999,tests performed,89.35,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
18,KAZ,Asia,Kazakhstan,2020-03-31,325.0,41.0,1.0,0.0,17.309,2.184,0.053,0.0,30905.0,9892.0,1.646,0.527,3003.0,0.16,tests performed,89.35,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,,7.11,7.0,43.1,98.999,6.7,73.6
