,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,KEN,Africa,Kenya,2020-03-06,,,,,,,,,31.0,,0.001,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
1,KEN,Africa,Kenya,2020-03-07,,,,,,,,,,,,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
2,KEN,Africa,Kenya,2020-03-08,,,,,,,,,,,,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
3,KEN,Africa,Kenya,2020-03-09,,,,,,,,,,,,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
4,KEN,Africa,Kenya,2020-03-10,,,,,,,,,,,,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
5,KEN,Africa,Kenya,2020-03-11,,,,,,,,,,,,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
6,KEN,Africa,Kenya,2020-03-12,,,,,,,,,,,,,,,samples tested,13.89,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
7,KEN,Africa,Kenya,2020-03-13,,,,,,,,,,,,,7.0,0.0,samples tested,36.11,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
8,KEN,Africa,Kenya,2020-03-14,1.0,1.0,,0.0,0.019,0.019,,0.0,,,,,7.0,0.0,samples tested,36.11,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
9,KEN,Africa,Kenya,2020-03-15,1.0,0.0,,0.0,0.019,0.0,,0.0,,,,,7.0,0.0,samples tested,50.93,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,,2.92,1.2,20.4,24.651,1.4,66.7
