,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,KWT,Asia,Kuwait,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
1,KWT,Asia,Kuwait,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
2,KWT,Asia,Kuwait,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
3,KWT,Asia,Kuwait,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
4,KWT,Asia,Kuwait,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
5,KWT,Asia,Kuwait,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
6,KWT,Asia,Kuwait,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
7,KWT,Asia,Kuwait,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
8,KWT,Asia,Kuwait,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
9,KWT,Asia,Kuwait,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
10,KWT,Asia,Kuwait,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
11,KWT,Asia,Kuwait,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
12,KWT,Asia,Kuwait,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
13,KWT,Asia,Kuwait,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
14,KWT,Asia,Kuwait,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
15,KWT,Asia,Kuwait,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
16,KWT,Asia,Kuwait,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
17,KWT,Asia,Kuwait,2020-01-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
18,KWT,Asia,Kuwait,2020-01-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
19,KWT,Asia,Kuwait,2020-01-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
20,KWT,Asia,Kuwait,2020-01-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
21,KWT,Asia,Kuwait,2020-01-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
22,KWT,Asia,Kuwait,2020-01-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
23,KWT,Asia,Kuwait,2020-01-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
24,KWT,Asia,Kuwait,2020-01-24,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
25,KWT,Asia,Kuwait,2020-01-25,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
26,KWT,Asia,Kuwait,2020-01-26,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
27,KWT,Asia,Kuwait,2020-01-27,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
28,KWT,Asia,Kuwait,2020-01-28,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
29,KWT,Asia,Kuwait,2020-01-29,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
30,KWT,Asia,Kuwait,2020-01-30,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
31,KWT,Asia,Kuwait,2020-01-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
32,KWT,Asia,Kuwait,2020-02-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
33,KWT,Asia,Kuwait,2020-02-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
34,KWT,Asia,Kuwait,2020-02-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
35,KWT,Asia,Kuwait,2020-02-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
36,KWT,Asia,Kuwait,2020-02-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
37,KWT,Asia,Kuwait,2020-02-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
38,KWT,Asia,Kuwait,2020-02-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
39,KWT,Asia,Kuwait,2020-02-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
40,KWT,Asia,Kuwait,2020-02-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
41,KWT,Asia,Kuwait,2020-02-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
42,KWT,Asia,Kuwait,2020-02-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
43,KWT,Asia,Kuwait,2020-02-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
44,KWT,Asia,Kuwait,2020-02-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
45,KWT,Asia,Kuwait,2020-02-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
46,KWT,Asia,Kuwait,2020-02-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
47,KWT,Asia,Kuwait,2020-02-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
48,KWT,Asia,Kuwait,2020-02-17,,0.0,,0.0,,0.0,,0.0,,,,,,,,5.56,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
49,KWT,Asia,Kuwait,2020-02-18,,0.0,,0.0,,0.0,,0.0,,,,,,,,11.11,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
50,KWT,Asia,Kuwait,2020-02-19,,0.0,,0.0,,0.0,,0.0,,,,,,,,11.11,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
51,KWT,Asia,Kuwait,2020-02-20,,0.0,,0.0,,0.0,,0.0,,,,,,,,11.11,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
52,KWT,Asia,Kuwait,2020-02-21,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
53,KWT,Asia,Kuwait,2020-02-22,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
54,KWT,Asia,Kuwait,2020-02-23,,0.0,,0.0,,0.0,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
55,KWT,Asia,Kuwait,2020-02-24,3.0,3.0,,0.0,0.7020000000000001,0.7020000000000001,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
56,KWT,Asia,Kuwait,2020-02-25,5.0,2.0,,0.0,1.171,0.46799999999999997,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
57,KWT,Asia,Kuwait,2020-02-26,11.0,6.0,,0.0,2.576,1.405,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
58,KWT,Asia,Kuwait,2020-02-27,26.0,15.0,,0.0,6.087999999999999,3.512,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
59,KWT,Asia,Kuwait,2020-02-28,43.0,17.0,,0.0,10.068999999999999,3.9810000000000003,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
60,KWT,Asia,Kuwait,2020-02-29,45.0,2.0,,0.0,10.537,0.46799999999999997,,0.0,,,,,,,,13.89,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
61,KWT,Asia,Kuwait,2020-03-01,45.0,0.0,,0.0,10.537,0.0,,0.0,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
62,KWT,Asia,Kuwait,2020-03-02,46.0,1.0,,0.0,10.770999999999999,0.23399999999999999,,0.0,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
63,KWT,Asia,Kuwait,2020-03-03,56.0,10.0,,0.0,13.113,2.342,,0.0,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
64,KWT,Asia,Kuwait,2020-03-04,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
65,KWT,Asia,Kuwait,2020-03-05,,,,,,,,,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
66,KWT,Asia,Kuwait,2020-03-06,58.0,2.0,,0.0,13.581,0.46799999999999997,,0.0,,,,,,,,27.78,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,,15.84,2.7,37.0,,2.0,75.49
