,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,KGZ,Asia,Kyrgyzstan,2020-03-19,3.0,3.0,,0.0,0.46,0.46,,0.0,,,,,,,,63.89,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
1,KGZ,Asia,Kyrgyzstan,2020-03-20,6.0,3.0,,0.0,0.92,0.46,,0.0,,,,,,,,63.89,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
2,KGZ,Asia,Kyrgyzstan,2020-03-21,6.0,0.0,,0.0,0.92,0.0,,0.0,,,,,,,,63.89,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
3,KGZ,Asia,Kyrgyzstan,2020-03-22,14.0,8.0,,0.0,2.146,1.226,,0.0,,,,,,,,69.44,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
4,KGZ,Asia,Kyrgyzstan,2020-03-23,14.0,0.0,,0.0,2.146,0.0,,0.0,,,,,,,,69.44,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
5,KGZ,Asia,Kyrgyzstan,2020-03-24,16.0,2.0,,0.0,2.452,0.307,,0.0,,,,,,,,69.44,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
6,KGZ,Asia,Kyrgyzstan,2020-03-25,42.0,26.0,,0.0,6.438,3.985,,0.0,,,,,,,,92.13,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
7,KGZ,Asia,Kyrgyzstan,2020-03-26,44.0,2.0,,0.0,6.744,0.307,,0.0,,,,,,,,92.13,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
8,KGZ,Asia,Kyrgyzstan,2020-03-27,44.0,0.0,,0.0,6.744,0.0,,0.0,,,,,,,,92.13,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
9,KGZ,Asia,Kyrgyzstan,2020-03-28,58.0,14.0,,0.0,8.89,2.146,,0.0,,,,,,,,92.13,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,,7.11,3.6,50.5,89.22,4.5,71.45
