,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LAO,Asia,Laos,2020-03-25,2.0,2.0,,0.0,0.275,0.275,,0.0,,,,,,,,25.93,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
1,LAO,Asia,Laos,2020-03-26,2.0,0.0,,0.0,0.275,0.0,,0.0,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
2,LAO,Asia,Laos,2020-03-27,6.0,4.0,,0.0,0.825,0.55,,0.0,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
3,LAO,Asia,Laos,2020-03-28,6.0,0.0,,0.0,0.825,0.0,,0.0,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
4,LAO,Asia,Laos,2020-03-29,6.0,0.0,,0.0,0.825,0.0,,0.0,,,,,,,,28.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
5,LAO,Asia,Laos,2020-03-30,6.0,0.0,,0.0,0.825,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
6,LAO,Asia,Laos,2020-03-31,9.0,3.0,,0.0,1.237,0.41200000000000003,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
7,LAO,Asia,Laos,2020-04-01,9.0,0.0,,0.0,1.237,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
8,LAO,Asia,Laos,2020-04-02,10.0,1.0,,0.0,1.374,0.13699999999999998,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
9,LAO,Asia,Laos,2020-04-03,10.0,0.0,,0.0,1.374,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
10,LAO,Asia,Laos,2020-04-04,10.0,0.0,,0.0,1.374,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
11,LAO,Asia,Laos,2020-04-05,10.0,0.0,,0.0,1.374,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
12,LAO,Asia,Laos,2020-04-06,11.0,1.0,,0.0,1.5119999999999998,0.13699999999999998,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
13,LAO,Asia,Laos,2020-04-07,12.0,1.0,,0.0,1.649,0.13699999999999998,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
14,LAO,Asia,Laos,2020-04-08,12.0,0.0,,0.0,1.649,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
15,LAO,Asia,Laos,2020-04-09,15.0,3.0,,0.0,2.062,0.41200000000000003,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
16,LAO,Asia,Laos,2020-04-10,16.0,1.0,,0.0,2.199,0.13699999999999998,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
17,LAO,Asia,Laos,2020-04-11,16.0,0.0,,0.0,2.199,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
18,LAO,Asia,Laos,2020-04-12,18.0,2.0,,0.0,2.474,0.275,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
19,LAO,Asia,Laos,2020-04-13,19.0,1.0,,0.0,2.611,0.13699999999999998,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
20,LAO,Asia,Laos,2020-04-14,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
21,LAO,Asia,Laos,2020-04-15,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
22,LAO,Asia,Laos,2020-04-16,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
23,LAO,Asia,Laos,2020-04-17,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
24,LAO,Asia,Laos,2020-04-18,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
25,LAO,Asia,Laos,2020-04-19,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
26,LAO,Asia,Laos,2020-04-20,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
27,LAO,Asia,Laos,2020-04-21,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
28,LAO,Asia,Laos,2020-04-22,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
29,LAO,Asia,Laos,2020-04-23,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
30,LAO,Asia,Laos,2020-04-24,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
31,LAO,Asia,Laos,2020-04-25,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
32,LAO,Asia,Laos,2020-04-26,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
33,LAO,Asia,Laos,2020-04-27,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
34,LAO,Asia,Laos,2020-04-28,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
35,LAO,Asia,Laos,2020-04-29,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
36,LAO,Asia,Laos,2020-04-30,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
37,LAO,Asia,Laos,2020-05-01,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
38,LAO,Asia,Laos,2020-05-02,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
39,LAO,Asia,Laos,2020-05-03,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,96.3,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
40,LAO,Asia,Laos,2020-05-04,19.0,0.0,,0.0,2.611,0.0,,0.0,,,,,,,,82.41,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,,4.0,7.3,51.2,49.839,1.5,67.92
