,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LVA,Europe,Latvia,2020-02-29,,,,,,,,,116.0,116.0,0.061,0.061,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
1,LVA,Europe,Latvia,2020-03-01,,,,,,,,,126.0,10.0,0.067,0.005,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
2,LVA,Europe,Latvia,2020-03-02,,,,,,,,,163.0,37.0,0.086,0.02,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
3,LVA,Europe,Latvia,2020-03-03,1.0,1.0,,0.0,0.53,0.53,,0.0,204.0,41.0,0.10800000000000001,0.022000000000000002,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
4,LVA,Europe,Latvia,2020-03-04,,,,,,,,,240.0,36.0,0.127,0.019,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
5,LVA,Europe,Latvia,2020-03-05,,,,,,,,,275.0,35.0,0.146,0.019,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
6,LVA,Europe,Latvia,2020-03-06,,,,,,,,,307.0,32.0,0.163,0.017,,,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
7,LVA,Europe,Latvia,2020-03-07,,,,,,,,,321.0,14.0,0.17,0.006999999999999999,29.0,0.015,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
8,LVA,Europe,Latvia,2020-03-08,2.0,1.0,,0.0,1.06,0.53,,0.0,343.0,22.0,0.182,0.012,31.0,0.016,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
9,LVA,Europe,Latvia,2020-03-09,3.0,1.0,,0.0,1.59,0.53,,0.0,391.0,48.0,0.207,0.025,33.0,0.017,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
10,LVA,Europe,Latvia,2020-03-10,6.0,3.0,,0.0,3.181,1.59,,0.0,450.0,59.0,0.239,0.031,35.0,0.019,tests performed,8.33,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
11,LVA,Europe,Latvia,2020-03-11,8.0,2.0,,0.0,4.2410000000000005,1.06,,0.0,497.0,47.0,0.263,0.025,37.0,0.02,tests performed,11.11,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
12,LVA,Europe,Latvia,2020-03-12,10.0,2.0,,0.0,5.3020000000000005,1.06,,0.0,576.0,79.0,0.305,0.042,43.0,0.023,tests performed,11.11,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
13,LVA,Europe,Latvia,2020-03-13,16.0,6.0,,0.0,8.482999999999999,3.181,,0.0,703.0,127.0,0.373,0.067,57.0,0.03,tests performed,48.15,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
14,LVA,Europe,Latvia,2020-03-14,19.0,3.0,,0.0,10.073,1.59,,0.0,1019.0,316.0,0.54,0.168,100.0,0.053,tests performed,50.93,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
15,LVA,Europe,Latvia,2020-03-15,26.0,7.0,,0.0,13.784,3.7110000000000003,,0.0,1353.0,334.0,0.7170000000000001,0.177,144.0,0.076,tests performed,50.93,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
16,LVA,Europe,Latvia,2020-03-16,31.0,5.0,,0.0,16.435,2.6510000000000002,,0.0,1704.0,351.0,0.903,0.18600000000000003,188.0,0.1,tests performed,50.93,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
17,LVA,Europe,Latvia,2020-03-17,36.0,5.0,,0.0,19.086,2.6510000000000002,,0.0,2199.0,495.0,1.166,0.262,250.0,0.133,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
18,LVA,Europe,Latvia,2020-03-18,61.0,25.0,,0.0,32.34,13.254000000000001,,0.0,2954.0,755.0,1.5659999999999998,0.4,351.0,0.18600000000000003,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
19,LVA,Europe,Latvia,2020-03-19,71.0,10.0,,0.0,37.641999999999996,5.3020000000000005,,0.0,3674.0,720.0,1.9480000000000002,0.382,443.0,0.235,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
20,LVA,Europe,Latvia,2020-03-20,86.0,15.0,,0.0,45.593999999999994,7.952000000000001,,0.0,4373.0,699.0,2.318,0.371,524.0,0.278,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
21,LVA,Europe,Latvia,2020-03-21,111.0,25.0,,0.0,58.848,13.254000000000001,,0.0,5762.0,1389.0,3.055,0.736,678.0,0.359,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
22,LVA,Europe,Latvia,2020-03-22,124.0,13.0,,0.0,65.741,6.892,,0.0,6573.0,811.0,3.485,0.43,746.0,0.396,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
23,LVA,Europe,Latvia,2020-03-23,139.0,15.0,,0.0,73.693,7.952000000000001,,0.0,7758.0,1185.0,4.113,0.628,865.0,0.45899999999999996,tests performed,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,,4.91,25.6,51.0,,5.57,75.29
