,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LBN,Asia,Lebanon,2019-12-31,,0.0,,0.0,,0.0,,0.0,,,,,,,,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
1,LBN,Asia,Lebanon,2020-01-01,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
2,LBN,Asia,Lebanon,2020-01-02,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
3,LBN,Asia,Lebanon,2020-01-03,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
4,LBN,Asia,Lebanon,2020-01-04,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
5,LBN,Asia,Lebanon,2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
6,LBN,Asia,Lebanon,2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
7,LBN,Asia,Lebanon,2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
8,LBN,Asia,Lebanon,2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
9,LBN,Asia,Lebanon,2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
10,LBN,Asia,Lebanon,2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
11,LBN,Asia,Lebanon,2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
12,LBN,Asia,Lebanon,2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
13,LBN,Asia,Lebanon,2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
14,LBN,Asia,Lebanon,2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
15,LBN,Asia,Lebanon,2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
16,LBN,Asia,Lebanon,2020-01-16,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,,12.71,26.9,40.7,,2.9,78.93
