,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
0,LSO,Africa,Lesotho,2020-05-15,1.0,1.0,,0.0,0.467,0.467,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
1,LSO,Africa,Lesotho,2020-05-16,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
2,LSO,Africa,Lesotho,2020-05-17,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
3,LSO,Africa,Lesotho,2020-05-18,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
4,LSO,Africa,Lesotho,2020-05-19,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
5,LSO,Africa,Lesotho,2020-05-20,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
6,LSO,Africa,Lesotho,2020-05-21,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
7,LSO,Africa,Lesotho,2020-05-22,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
8,LSO,Africa,Lesotho,2020-05-23,1.0,0.0,,0.0,0.467,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
9,LSO,Africa,Lesotho,2020-05-24,2.0,1.0,,0.0,0.934,0.467,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
10,LSO,Africa,Lesotho,2020-05-25,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
11,LSO,Africa,Lesotho,2020-05-26,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
12,LSO,Africa,Lesotho,2020-05-27,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
13,LSO,Africa,Lesotho,2020-05-28,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
14,LSO,Africa,Lesotho,2020-05-29,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
15,LSO,Africa,Lesotho,2020-05-30,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
16,LSO,Africa,Lesotho,2020-05-31,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
17,LSO,Africa,Lesotho,2020-06-01,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
18,LSO,Africa,Lesotho,2020-06-02,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
19,LSO,Africa,Lesotho,2020-06-03,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
20,LSO,Africa,Lesotho,2020-06-04,2.0,0.0,,0.0,0.934,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
21,LSO,Africa,Lesotho,2020-06-05,4.0,2.0,,0.0,1.867,0.934,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
22,LSO,Africa,Lesotho,2020-06-06,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
23,LSO,Africa,Lesotho,2020-06-07,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
24,LSO,Africa,Lesotho,2020-06-08,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
25,LSO,Africa,Lesotho,2020-06-09,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
26,LSO,Africa,Lesotho,2020-06-10,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
27,LSO,Africa,Lesotho,2020-06-11,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
28,LSO,Africa,Lesotho,2020-06-12,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
29,LSO,Africa,Lesotho,2020-06-13,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
30,LSO,Africa,Lesotho,2020-06-14,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
31,LSO,Africa,Lesotho,2020-06-15,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
32,LSO,Africa,Lesotho,2020-06-16,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
33,LSO,Africa,Lesotho,2020-06-17,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
34,LSO,Africa,Lesotho,2020-06-18,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
35,LSO,Africa,Lesotho,2020-06-19,4.0,0.0,,0.0,1.867,0.0,,0.0,,,,,,,,62.04,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,,3.94,0.4,53.9,2.117,,54.33
